nom des bv;Guadalquivir;Guadiana;Sado;Tagus;Mondego;Douro;Lima;Minho;Lerez;Ulla;Mandeo;Landro;Masma;Eo;Navia;Esva;Nalon_Narcea;Sella;Nansa;Pas;Ason;Nervion;Deva_Cares;Oria;Urumea;Bidassoa;Nivelle;Adour;Leyre;Garonne;Seudre;Charente;Sevre_Niortaise;Lay;Auzance;Loire;Vilaine;Blavet;Scorff;Odet;Aulne;Elorn;Leguer;Leff;Trieux;Rance;Couesnon;Selune;Sienne;Douve;Vire;Orne;Dives;Touques;Seine;Bresle;Somme;Authie;Canche;Aa;Yser;Escaut;Meuse;Rhine;Ems;Weser;Elbe;Eider;Vida;Otra;Lagen;Drammens;Glomma
Final states;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;1;1;0;1;1;2;1;2;2;2;2;2;2;2;1;2;2;1;2;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
year of first non nul reproduction;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;4;4;0;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;0;0;0;0
year of last nul reproduction;7;3;3;3;3;3;3;3;3;3;3;3;3;3;100;3;3;100;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;8;18;17;22;27;52;47;81;87;97;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
mean last recruitment;4878523.3;4241811.0;542727.8;5518448.6;300749.7;5510310.1;139750.9;516122.4;24095.2;127255.1;13270.8;10639.6;9803.7;27463.1;0.0;13085.3;2558.6;0.0;3787.5;13763.5;15211.9;35756.8;49125.8;38993.7;9602.3;26665.5;5990.9;839364.3;128641.2;2808478.6;12335.1;468671.9;1206707.8;95023.5;29077.2;54332.0;49995.5;24776.6;9259.4;1401.8;342.9;543.1;243.8;138.0;130.1;67.6;24.8;17.2;13.2;0.9;0.0;0.0;0.4;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
geo mean of last 10 years R/alpha;0.9499020164471575;0.8904152729134638;0.9582960015778589;0.947372189732;0.8526498254689832;1.076471746148007;1.0145371946919326;0.856983435466252;0.9761229887779564;0.9631682373609487;0.8665831638690328;1.054607335805324;0.87411837009328;0.8535218079398551;0.0;0.7803805914246247;0.01857302116128996;0.0;0.4276991896514494;0.7971685589535858;0.8770627778259028;0.6044934778213722;0.9166182946331225;1.0004664473749454;0.8763822344390082;0.9285858653655417;1.0679274791742155;0.8557727627433067;0.8672272511935424;0.5321688655108564;0.9982607011916055;0.9086616876357573;0.6427094936653672;0.8605628047208618;0.981813894610039;0.009568484199849936;0.0973473631487337;0.279639271792745;0.9380399684091961;0.07546776376045293;0.01007200910334208;0.05380350725614173;0.01634491217559833;0.013192130786258392;0.008249791684656053;0.0012119987654468033;6.359622765966173E-4;4.50968637810235E-4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
mean last percentage of autochtone;81.43815223324025;76.29912316928686;27.345037473243327;91.79917325599072;18.42541126782305;92.61497377931785;18.635516330235674;50.41441023569921;6.26788090940684;27.270301177955844;17.523112915648607;27.358846119553128;35.737887070875956;65.04194296457017;0.0;60.31636943695291;20.998319775220466;0.0;16.28882542458007;30.898908931203813;27.09484019889174;42.12677823790581;44.72452067140793;37.262889349838865;10.633612327282785;24.764405571416432;5.465917986373641;92.48902020190512;37.86216417927512;94.24958621291663;5.250726934283594;66.28030725246533;85.16130940931399;30.443273775386036;12.811645090349867;26.73750360911078;28.502937929347574;36.15073390267112;24.202177641866307;7.194235217731699;3.9370387161200666;5.648107879192706;8.995130196051113;6.467261059012978;4.287128344137614;13.098039215686276;5.843137254901961;16.19047619047619;10.000000000000002;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
confusion matrix(VN,FN,FP,VP);0.15942028985507245;0.14492753623188406;0.10144927536231885;0.5942028985507246
kappa;0.3937984496124033
