"","Pearl","Escambia","Choctawhatchee","Ochlockonee","Aucilla","Ecofina River","Waccasassa","Withlacoochee","Manatee","Little Manatee","Hillsborough","Alafia","Myakka","Peace","St. Marys","Nassau","Satilla","St. Johns","Altamaha","Ogeechee","Savannah","Coosawatchie","Salkehatchie","Edisto","Loxahatchee","Cooper","Santee","Pee Dee","Cape Fear","New","White Oak","Potomac","Neuse","Pamlico-Tar","Rappahannock","James","York","Roanoke","Chowan","Patuxent","Perquimmans","Pasquotank","Chester-Sassafras","Susquehanna","Alligator","Transquaking","Blackwater","Choptank","Nanticoke","Wicomico","Pokomoke-Western Lower Delmarva","Delaware","Mullica","Raritan","Metedeconk","Manasquan","Shark","Hudson","Nissequogue","Housatonic","Farm","Hammonasset","Menunketesuck","Connecticut","Thames","Pawcatuck","Blackstone-Providence","Palmer","St Lawrence","Sakonnet","Taunton","Paskamanset","Merrimack","Saco","Nonesuch","Kennebec","Sheepscot","Penobscot","Manicouagan","Pleasant","St. Croix","Restigouche","St Marguerite","St John","Tusket","George","Miramichi","Annapolis","Richibucto","Mersey","Petitcodiac","Medway","Cornwallis","LaHave","Maccan-Hebert-LaPlanche","Avon","Kennetcook","Romaine","Philip","Shubenacadie","Musquodoboit","John","St Mary's","Natashquan","Margaree","Kanairiktok","Churchill","Mira","Humber","Eagle","Exploits","Gander"
"Cooper",2211.26057572299,1993.37208780967,1994.22435330772,1856.31622098983,1845.74807813594,1847.58741052286,1755.83290121207,1757.53802545926,1556.70559383209,1578.5537997471,1590.47050471322,1589.81285093657,1463.28798878137,1469.53505291566,377.089728817013,371.177667430504,376.215473721929,371.825919501468,306.770235582977,256.62432504664,256.643419405622,214.63182361857,204.660223776188,211.079452707509,696.136736437048,41.7020871203766,168.632586540368,169.374021099257,287.888941659218,430.373007043028,427.47972862943,1008.84253846463,626.137888766364,632.493407287561,948.05874670783,901.565809590542,907.108575184797,779.202387839091,775.517091158983,978.428778773646,752.356642199563,731.367857376052,1031.26172339331,1084.09982361126,735.782498522584,949.499905747802,947.334785185412,965.748138186748,947.454310224073,933.178642570308,901.609507013741,1090.20135577931,1072.17507992024,1203.69743000644,1177.98559288392,1176.16043415181,1175.75173539577,1267.17482105245,1483.00973619692,1467.5151235584,1446.62846951299,1382.34184028581,1376.23089514369,1366.84978785354,1344.94857972736,1332.94408340344,1400.4635029564,1387.89595984156,4308.30761041726,1359.87866070473,1397.80075820097,1376.00366759078,1652.27612904847,1738.23508426141,1736.69855182736,1825.41718796429,1825.57434088622,1939.0150859142,3989.53960724581,2002.13831529968,2133.51131059442,3728.49770296425,3935.85667980764,2169.75125740141,2415.77601928737,6002.79195282385,3602.2333116809,2176.94989889804,3557.3378057128,2586.43891015546,2291.77733406559,2580.25492101749,2271.28273778807,2577.85409813315,2302.78641269012,2287.37829200543,2291.16686457061,4028.89092774894,3489.22022441116,2343.91389248048,2692.42017120631,3489.40844899806,2805.35723017929,4031.08245114774,3266.90389064641,5165.85065466195,5098.55585298926,3059.99662869521,4606.22117698944,4909.73685454308,5036.32237678825,5016.14414878062
"Santee",2270.18655113925,2052.29806322592,2053.15032872397,1915.24219640608,1904.67405355219,1906.51338593911,1814.75887662832,1816.46400087551,1615.63156924834,1637.47977516335,1649.39648012947,1648.73882635282,1522.21396419762,1528.46102833191,445.662943846681,439.750882460172,444.788688751597,440.399134531136,375.348567203602,328.881820324297,328.90091468328,286.891800707863,276.920200865481,283.339429796802,755.0627118533,168.632586540368,37.4974366511906,38.2388712100799,197.656747258884,348.295413083066,345.402134669467,926.764944504665,544.060294806401,550.415813327598,865.981152747868,819.48821563058,825.030981224835,697.124793879128,693.43949719902,896.351184813684,670.279048239601,649.290263416089,949.18412943335,1002.0222296513,653.704904562622,867.42231178784,865.25719122545,883.670544226786,865.376716264111,851.101048610346,819.531913053779,1008.12376181935,990.09748596028,1121.61983604647,1095.90799892396,1094.08284019184,1093.6741414358,1185.09722709249,1400.93214223695,1385.43752959844,1364.55087555303,1300.26424632585,1294.15330118373,1284.77219389358,1262.87098576739,1250.86648944348,1318.38590899644,1305.8183658816,4226.2300164573,1277.80106674477,1315.72316424101,1293.92607363082,1570.1985350885,1656.15749030144,1654.62095786739,1743.33959400433,1743.49674692626,1856.93749195423,3907.46201328585,1920.06072133971,2051.43371663445,3646.42010900428,3853.77908584768,2087.67366344144,2333.69842532741,5920.71435886389,3520.15571772094,2094.87230493807,3475.26021175284,2504.3613161955,2209.69974010563,2498.17732705753,2189.20514382811,2495.77650417319,2220.70881873015,2205.30069804547,2209.08927061065,3946.81333378897,3407.1426304512,2261.83629852052,2610.34257724635,3407.3308550381,2723.27963621933,3949.00485718778,3184.82629668644,5083.77306070198,5016.4782590293,2977.91903473525,4524.14358302948,4827.65926058312,4954.24478282828,4934.06655482066
"Pee Dee",2270.92798569814,2053.03949778481,2053.89176328286,1915.98363096497,1905.41548811108,1907.254820498,1815.50031118721,1817.2054354344,1616.37300380723,1638.22120972224,1650.13791468836,1649.48026091171,1522.95539875651,1529.2024628908,446.404378405571,440.492317019062,445.530123310487,441.140569090025,376.090001762491,329.623254883186,329.642349242169,287.633235266752,277.66163542437,284.080864355691,755.804146412189,169.374021099257,38.2388712100799,38.9803057689692,198.398181817773,349.036847641955,346.143569228356,927.506379063554,544.801729365291,551.157247886488,866.722587306757,820.229650189469,825.772415783724,697.866228438017,694.180931757909,897.092619372573,671.02048279849,650.031697974979,949.925563992239,1002.76366421019,654.446339121511,868.163746346729,865.998625784339,884.411978785675,866.118150823,851.842483169235,820.273347612668,1008.86519637824,990.83892051917,1122.36127060536,1096.64943348285,1094.82427475073,1094.41557599469,1185.83866165138,1401.67357679584,1386.17896415733,1365.29231011192,1301.00568088474,1294.89473574262,1285.51362845247,1263.61242032628,1251.60792400237,1319.12734355533,1306.55980044049,4226.97145101618,1278.54250130366,1316.4645987999,1294.66750818971,1570.93996964739,1656.89892486033,1655.36239242628,1744.08102856321,1744.23818148515,1857.67892651312,3908.20344784474,1920.8021558986,2052.17515119334,3647.16154356317,3854.52052040656,2088.41509800033,2334.4398598863,5921.45579342278,3520.89715227983,2095.61373949696,3476.00164631172,2505.10275075439,2210.44117466452,2498.91876161642,2189.946578387,2496.51793873208,2221.45025328904,2206.04213260436,2209.83070516954,3947.55476834786,3407.88406501008,2262.57773307941,2611.08401180524,3408.07228959699,2724.02107077822,3949.74629174667,3185.56773124533,5084.51449526087,5017.21969358818,2978.66046929414,4524.88501758837,4828.40069514201,4954.98621738717,4934.80798937955
"Cape Fear",2382.11004514048,2164.22155722715,2165.0738227252,2027.16569040732,2016.59754755342,2018.43687994035,1926.68237062956,1928.38749487674,1727.55506324957,1749.40326916458,1761.31997413071,1760.66232035406,1634.13745819885,1640.38452233315,558.00894143669,552.096880050181,557.134686341606,552.745132121144,492.487623033533,448.138175443147,448.15726980213,406.148155826713,396.176555984331,402.595784915652,866.986205854532,287.888941659218,197.656747258884,198.398181817773,30.0066951022412,245.822628970866,242.929350557267,824.292160392465,441.587510694202,447.943029215399,763.508368635668,717.01543151838,722.558197112635,594.652009766928,590.96671308682,793.878400701484,567.806264127401,546.81747930389,846.71134532115,899.549445539097,551.232120450422,764.94952767564,762.78440711325,781.197760114586,762.903932151911,748.628264498146,717.059128941579,905.650977707153,887.624701848081,1019.14705193427,993.43521481176,991.610056079645,991.201357323605,1082.62444298029,1298.45935812475,1282.96474548624,1262.07809144083,1197.79146221365,1191.68051707153,1182.29940978138,1160.3982016552,1148.39370533128,1215.91312488424,1203.3455817694,4123.7572323451,1175.32828263257,1213.25038012881,1191.45328951862,1467.7257509763,1553.68470618924,1552.14817375519,1640.86680989213,1641.02396281406,1754.46470784203,3804.98922917365,1817.58793722751,1948.96093252226,3543.94732489208,3751.30630173548,1985.20087932925,2231.22564121521,5818.24157475169,3417.68293360874,1992.39952082587,3372.78742764064,2401.8885320833,2107.22695599343,2395.70454294533,2086.73235971591,2393.30372006099,2118.23603461796,2102.82791393327,2106.61648649845,3844.34054967677,3304.669846339,2159.36351440832,2507.86979313415,3304.8580709259,2620.80685210713,3846.53207307558,3082.35351257424,4981.30027658978,4914.00547491709,2875.44625062305,4421.67079891727,4725.18647647092,4851.77199871608,4831.59377070846
"New",2522.89230038087,2305.00381246755,2305.8560779656,2167.94794564771,2157.37980279382,2159.21913518074,2067.46462586995,2069.16975011714,1868.33731848996,1890.18552440498,1902.1022293711,1901.44457559445,1774.91971343925,1781.16677757354,699.651958458984,693.739897072475,698.7777033639,694.388149143438,634.908910185356,590.622240826958,590.64133518594,548.632221210523,538.660621368141,545.079850299462,1007.76846109492,430.373007043028,348.295413083066,349.036847641955,245.822628970866,71.2987641658312,68.4054857522325,711.030147627603,328.325497929339,334.681016450536,650.246355870806,603.753418753518,609.296184347773,481.389997002066,477.704700321958,680.616387936622,454.544251362538,433.555466539027,733.449332556288,786.287432774235,437.970107685559,651.687514910778,649.522394348388,667.935747349724,649.641919387049,635.366251733284,603.797116176717,792.38896494229,774.362689083218,905.885039169412,880.173202046898,878.348043314783,877.939344558742,969.362430215429,1185.19734535989,1169.70273272138,1148.81607867597,1084.52944944879,1078.41850430667,1069.03739701652,1047.13618889033,1035.13169256642,1102.65111211938,1090.08356900454,4010.49521958023,1062.06626986771,1099.98836736395,1078.19127675376,1354.46373821144,1440.42269342438,1438.88616099033,1527.60479712726,1527.7619500492,1641.20269507717,3691.72721640879,1704.32592446265,1835.69891975739,3430.68531212722,3638.04428897061,1871.93886656438,2117.96362845035,5704.97956198682,3304.42092084388,1879.13750806101,3259.52541487577,2288.62651931844,1993.96494322857,2282.44253018047,1973.47034695105,2280.04170729613,2004.97402185309,1989.56590116841,1993.35447373358,3731.07853691191,3191.40783357413,2046.10150164346,2394.60778036928,3191.59605816104,2507.54483934227,3733.27006031072,2969.09149980938,4868.03826382492,4800.74346215223,2762.18423785819,4308.40878615241,4611.92446370606,4738.50998595122,4718.33175794359
"White Oak",2519.99902196727,2302.11053405395,2302.962799552,2165.05466723411,2154.48652438022,2156.32585676714,2064.57134745635,2066.27647170354,1865.44404007637,1887.29224599138,1899.2089509575,1898.55129718085,1772.02643502565,1778.27349915994,696.758680045385,690.846618658876,695.884424950301,691.494870729839,632.015631771757,587.728962413359,587.748056772341,545.738942796924,535.767342954542,542.186571885863,1004.87518268133,427.47972862943,345.402134669467,346.143569228356,242.929350557267,68.4054857522325,65.5122073386338,708.136869214004,325.43221951574,331.787738036937,647.353077457207,600.860140339919,606.402905934174,478.496718588467,474.811421908359,677.723109523023,451.65097294894,430.662188125428,730.556054142689,783.394154360636,435.076829271961,648.794236497179,646.629115934789,665.042468936125,646.74864097345,632.472973319685,600.903837763118,789.495686528691,771.46941066962,902.991760755814,877.279923633299,875.454764901184,875.046066145144,966.46915180183,1182.30406694629,1166.80945430778,1145.92280026237,1081.63617103519,1075.52522589307,1066.14411860292,1044.24291047673,1032.23841415282,1099.75783370578,1087.19029059094,4007.60194116664,1059.17299145411,1097.09508895035,1075.29799834016,1351.57045979784,1437.52941501078,1435.99288257673,1524.71151871366,1524.8686716356,1638.30941666357,3688.83393799519,1701.43264604905,1832.80564134379,3427.79203371362,3635.15101055702,1869.04558815078,2115.07035003675,5702.08628357323,3301.52764243028,1876.24422964741,3256.63213646218,2285.73324090484,1991.07166481497,2279.54925176687,1970.57706853745,2277.14842888253,2002.08074343949,1986.67262275481,1990.46119531999,3728.18525849831,3188.51455516054,2043.20822322986,2391.71450195569,3188.70277974744,2504.65156092867,3730.37678189712,2966.19822139578,4865.14498541132,4797.85018373863,2759.29095944459,4305.51550773881,4609.03118529246,4735.61670753762,4715.43847953
"Potomac",3101.36183180247,2883.47334388915,2884.3256093872,2746.41747706931,2735.84933421542,2737.68866660234,2645.93415729155,2647.63928153874,2446.80684991156,2468.65505582657,2480.5717607927,2479.91410701605,2353.38924486085,2359.63630899514,1278.12148988058,1272.20942849407,1277.2472347855,1272.85768056504,1213.37844160696,1169.09177224856,1169.11086660754,1127.10175263212,1117.13015278974,1123.54938172106,1586.23799251652,1008.84253846463,926.764944504665,927.506379063554,824.292160392465,711.030147627603,708.136869214004,439.804628186662,616.221242883385,622.576761404582,388.818188908966,342.325251791678,347.868017385933,469.631528027087,465.946231346979,409.390868495681,442.785782387559,421.796997564048,472.021165594448,524.859265812395,426.21163871058,390.259347948938,388.094227386548,396.710227908783,388.213752425209,373.938084771444,342.368949214877,586.851529120128,570.589100836508,705.997793648315,680.285956525801,678.460797793686,678.052099037645,769.475184694332,993.931729029691,978.437116391176,957.55046234577,893.263833118588,887.152887976469,877.77178068632,855.870572560133,843.866076236216,911.702332974179,899.134789859341,3822.1415293629,871.117490722513,909.03958821875,887.242497608562,1166.11004799411,1252.06900320705,1250.532470773,1339.25110690993,1339.40825983187,1452.84900485984,3503.37352619146,1515.97223424532,1647.34522954006,3242.33162190989,3449.69059875328,1683.58517634705,1929.60993823302,5516.62587176949,3116.06723062655,1690.78381784368,3071.17172465844,2100.27282910111,1805.61125301124,2094.08883996314,1785.11665673372,2091.6880170788,1816.62033163576,1801.21221095108,1805.00078351626,3542.72484669458,3003.0541433568,1857.74781142613,2206.25409015195,3003.24236794371,2319.19114912494,3544.91637009339,2780.73780959205,4679.68457360759,4612.3897719349,2573.83054764086,4120.05509593508,4423.57077348873,4550.15629573389,4529.97806772626
"Neuse",2718.65718210421,2500.76869419088,2501.62095968893,2363.71282737105,2353.14468451715,2354.98401690408,2263.22950759329,2264.93463184047,2064.1022002133,2085.95040612831,2097.86711109444,2097.20945731779,1970.68459516258,1976.93165929687,895.41684018232,889.504778795811,894.542585087236,890.153030866774,830.673791908692,786.387122550293,786.406216909276,744.397102933859,734.425503091477,740.844732022798,1203.53334281826,626.137888766364,544.060294806401,544.801729365291,441.587510694202,328.325497929339,325.43221951574,616.221242883385,218.320667211448,224.676185732645,555.437451126588,508.9445140093,514.487279603555,386.581092257848,382.89579557774,585.807483192404,359.735346618321,338.74656179481,638.64042781207,691.478528030017,343.161202941342,556.87861016656,554.71348960417,573.126842605506,554.833014642831,540.557346989066,508.988211432499,697.580060198072,679.553784339001,811.076134425195,785.36429730268,783.539138570565,783.130439814525,874.553525471211,1090.38844061567,1074.89382797716,1054.00717393175,989.720544704571,983.609599562452,974.228492272302,952.327284146116,940.322787822198,1007.84220737516,995.27466426032,3915.68631483601,967.257365123492,1005.17946261973,983.382372009541,1259.65483346722,1345.61378868016,1344.07725624611,1432.79589238304,1432.95304530498,1546.39379033295,3596.91831166457,1609.51701971843,1740.89001501317,3335.876407383,3543.2353842264,1777.12996182016,2023.15472370613,5610.1706572426,3209.61201609966,1784.32860331679,3164.71651013155,2193.81761457422,1899.15603848435,2187.63362543625,1878.66144220683,2185.23280255191,1910.16511710887,1894.75699642419,1898.54556898937,3636.26963216769,3096.59892882992,1951.29259689924,2299.79887562507,3096.78715341682,2412.73593459805,3638.4611555665,2874.28259506516,4773.2293590807,4705.93455740801,2667.37533311397,4213.59988140819,4517.11555896184,4643.701081207,4623.52285319938
"Pamlico-Tar",2725.0127006254,2507.12421271208,2507.97647821013,2370.06834589224,2359.50020303835,2361.33953542527,2269.58502611448,2271.29015036167,2070.4577187345,2092.30592464951,2104.22262961563,2103.56497583898,1977.04011368378,1983.28717781807,901.772358703517,895.860297317008,900.898103608433,896.508549387971,837.029310429889,792.74264107149,792.761735430473,750.752621455056,740.781021612674,747.200250543995,1209.88886133946,632.493407287561,550.415813327598,551.157247886488,447.943029215399,334.681016450536,331.787738036937,622.576761404582,224.676185732645,231.031704253842,561.792969647785,515.300032530497,520.842798124752,392.936610779045,389.251314098937,592.163001713601,366.090865139518,345.102080316007,644.995946333267,697.834046551214,349.516721462539,563.234128687757,561.069008125367,579.482361126703,561.188533164028,546.912865510263,515.343729953696,703.935578719269,685.909302860198,817.431652946392,791.719815823877,789.894657091762,789.485958335722,880.909043992408,1096.74395913687,1081.24934649836,1060.36269245295,996.076063225768,989.965118083649,980.584010793499,958.682802667313,946.678306343395,1014.19772589636,1001.63018278152,3922.04183335721,973.612883644689,1011.53498114093,989.737890530738,1266.01035198842,1351.96930720136,1350.43277476731,1439.15141090424,1439.30856382618,1552.74930885415,3603.27383018577,1615.87253823963,1747.24553353437,3342.2319259042,3549.59090274759,1783.48548034136,2029.51024222733,5616.5261757638,3215.96753462085,1790.68412183799,3171.07202865275,2200.17313309541,1905.51155700555,2193.98914395744,1885.01696072803,2191.58832107311,1916.52063563007,1901.11251494539,1904.90108751056,3642.62515068889,3102.95444735111,1957.64811542044,2306.15439414626,3103.14267193802,2419.09145311924,3644.8166740877,2880.63811358636,4779.5848776019,4712.29007592921,2673.73085163516,4219.95539992939,4523.47107748303,4650.0565997282,4629.87837172057
"Rappahannock",3040.57804004568,2822.68955213235,2823.5418176304,2685.63368531251,2675.06554245862,2676.90487484554,2585.15036553475,2586.85548978194,2386.02305815477,2407.87126406978,2419.7879690359,2419.13031525925,2292.60545310405,2298.85251723834,1217.33769812379,1211.42563673728,1216.4634430287,1212.07388880824,1152.59464985016,1108.30798049176,1108.32707485074,1066.31796087533,1056.34636103294,1062.76558996426,1525.45420075973,948.05874670783,865.981152747868,866.722587306757,763.508368635668,650.246355870806,647.353077457207,388.818188908966,555.437451126588,561.792969647785,318.7392144885,272.246277371212,277.789042965467,408.84773627029,405.162439590182,358.404429217985,382.001990630763,361.013205807251,401.942191173982,454.780291391929,365.427846953784,320.180373528472,318.015252966082,345.723788631087,318.134778004743,303.859110350978,272.289974794411,526.067737363332,509.805309079711,645.214001891518,619.502164769004,617.677006036889,617.268307280849,708.691392937535,933.147937272895,917.65332463438,896.766670588973,832.480041361792,826.369096219673,816.987988929523,795.086780803336,783.082284479419,850.918541217383,838.350998102545,3761.35773760611,810.333698965716,848.255796461953,826.458705851765,1105.32625623732,1191.28521145026,1189.7486790162,1278.46731515314,1278.62446807507,1392.06521310305,3442.58973443466,1455.18844248852,1586.56143778327,3181.54783015309,3388.90680699649,1622.80138459026,1868.82614647622,5455.8420800127,3055.28343886975,1630.00002608689,3010.38793290165,2039.48903734431,1744.82746125444,2033.30504820634,1724.33286497692,2030.904225322,1755.83653987897,1740.42841919428,1744.21699175946,3481.94105493778,2942.27035160001,1796.96401966933,2145.47029839516,2942.45857618691,2258.40735736814,3484.13257833659,2719.95401783525,4618.90078185079,4551.60598017811,2513.04675588406,4059.27130417828,4362.78698173193,4489.37250397709,4469.19427596947
"James",2994.08510292839,2776.19661501506,2777.04888051311,2639.14074819523,2628.57260534133,2630.41193772826,2538.65742841747,2540.36255266465,2339.53012103748,2361.37832695249,2373.29503191862,2372.63737814197,2246.11251598676,2252.35958012105,1170.8447610065,1164.93269961999,1169.97050591141,1165.58095169095,1106.10171273287,1061.81504337447,1061.83413773345,1019.82502375804,1009.85342391566,1016.27265284698,1478.96126364244,901.565809590542,819.48821563058,820.229650189469,717.01543151838,603.753418753518,600.860140339919,342.325251791678,508.9445140093,515.300032530497,272.246277371212,225.753340253924,231.296105848179,362.354799153002,358.669502472894,311.911492100697,335.509053513475,314.520268689963,355.449254056694,408.287354274641,318.934909836496,273.687436411184,271.522315848794,299.230851513799,271.641840887455,257.36617323369,225.797037677123,479.574800246044,463.312371962423,598.721064774231,573.009227651716,571.184068919601,570.775370163561,662.198455820247,886.655000155607,871.160387517092,850.273733471685,785.987104244504,779.876159102385,770.495051812235,748.593843686048,736.589347362131,804.425604100095,791.858060985257,3714.86480048882,763.840761848428,801.762859344665,779.965768734477,1058.83331912003,1144.79227433297,1143.25574189892,1231.97437803585,1232.13153095779,1345.57227598576,3396.09679731737,1408.69550537124,1540.06850066598,3135.05489303581,3342.4138698792,1576.30844747297,1822.33320935894,5409.34914289541,3008.79050175246,1583.5070889696,2963.89499578436,1992.99610022702,1698.33452413716,1986.81211108905,1677.83992785964,1984.41128820471,1709.34360276168,1693.93548207699,1697.72405464217,3435.4481178205,2895.77741448272,1750.47108255204,2098.97736127787,2895.96563906962,2211.91442025085,3437.6396412193,2673.46108071796,4572.40784473351,4505.11304306082,2466.55381876677,4012.77836706099,4316.29404461464,4442.8795668598,4422.70133885218
"York",2999.62786852264,2781.73938060932,2782.59164610737,2644.68351378948,2634.11537093559,2635.95470332251,2544.20019401172,2545.90531825891,2345.07288663174,2366.92109254675,2378.83779751287,2378.18014373622,2251.65528158102,2257.90234571531,1176.38752660075,1170.47546521424,1175.51327150567,1171.12371728521,1111.64447832713,1067.35780896873,1067.37690332771,1025.36778935229,1015.39618950991,1021.81541844123,1484.50402923669,907.108575184797,825.030981224835,825.772415783724,722.558197112635,609.296184347773,606.402905934174,347.868017385933,514.487279603555,520.842798124752,277.789042965467,231.296105848179,236.838871442434,367.897564747257,364.212268067149,317.454257694952,341.05181910773,320.063034284218,360.992019650949,413.830119868896,324.477675430751,279.230202005439,277.065081443049,304.773617108054,277.18460648171,262.908938827945,231.339803271378,485.117565840299,468.855137556678,604.263830368486,578.551993245971,576.726834513856,576.318135757816,667.741221414502,892.197765749862,876.703153111347,855.81649906594,791.529869838759,785.41892469664,776.03781740649,754.136609280303,742.132112956386,809.96836969435,797.400826579512,3720.40756608307,769.383527442683,807.30562493892,785.508534328732,1064.37608471428,1150.33503992722,1148.79850749317,1237.5171436301,1237.67429655204,1351.11504158001,3401.63956291163,1414.23827096549,1545.61126626023,3140.59765863006,3347.95663547345,1581.85121306722,1827.87597495319,5414.89190848966,3014.33326734671,1589.04985456385,2969.43776137861,1998.53886582128,1703.87728973141,1992.35487668331,1683.38269345389,1989.95405379897,1714.88636835593,1699.47824767125,1703.26682023643,3440.99088341475,2901.32018007697,1756.0138481463,2104.52012687212,2901.50840466388,2217.45718584511,3443.18240681356,2679.00384631222,4577.95061032776,4510.65580865507,2472.09658436103,4018.32113265525,4321.8368102089,4448.42233245406,4428.24410444643
"Roanoke",2871.72168117693,2653.83319326361,2654.68545876166,2516.77732644377,2506.20918358988,2508.0485159768,2416.29400666601,2417.9991309132,2217.16669928603,2239.01490520104,2250.93161016716,2250.27395639051,2123.74909423531,2129.9961583696,1048.48133925505,1042.56927786854,1047.60708415996,1043.2175299395,983.738290981419,939.45162162302,939.470715982002,897.461602006585,887.490002164203,893.909231095525,1356.59784189099,779.202387839091,697.124793879128,697.866228438017,594.652009766928,481.389997002066,478.496718588467,469.631528027087,386.581092257848,392.936610779045,408.84773627029,362.354799153002,367.897564747257,231.238810770928,227.55351409082,439.217768336106,204.393065131401,183.40428030789,492.050712955772,544.888813173719,187.818921454422,410.288895310262,408.123774747872,426.537127749208,408.243299786533,393.967632132768,362.398496576201,552.11899306933,534.103405353189,665.633501467558,639.921664345044,638.096505612929,637.687806856888,729.110892513575,948.458435857868,932.963823219353,912.077169173946,847.790539946765,841.679594804645,832.298487514496,810.397279388309,798.392783064392,865.977708003566,853.410164888728,3773.86832473042,825.3928657519,863.314963248137,841.517872637949,1117.83684336163,1203.79579857457,1202.25926614052,1290.97790227745,1291.13505519939,1404.57580022736,3455.10032155898,1467.69902961284,1599.07202490758,3194.05841727741,3401.4173941208,1635.31197171457,1881.33673360054,5468.35266713701,3067.79402599406,1642.5106132112,3022.89852002596,2051.99962446862,1757.33804837876,2045.81563533065,1736.84345210124,2043.41481244632,1768.34712700328,1752.9390063186,1756.72757888377,3494.4516420621,2954.78093872432,1809.47460679365,2157.98088551947,2954.96916331123,2270.91794449245,3496.64316546091,2732.46460495957,4631.41136897511,4564.11656730242,2525.55734300837,4071.7818913026,4375.29756885624,4501.8830911014,4481.70486309378
"Chowan",2868.03638449683,2650.1478965835,2651.00016208155,2513.09202976367,2502.52388690977,2504.3632192967,2412.6087099859,2414.31383423309,2213.48140260592,2235.32960852093,2247.24631348705,2246.5886597104,2120.0637975552,2126.31086168949,1044.79604257494,1038.88398118843,1043.92178747985,1039.53223325939,980.052994301311,935.766324942912,935.785419301894,893.776305326477,883.804705484096,890.223934415417,1352.91254521088,775.517091158983,693.43949719902,694.180931757909,590.96671308682,477.704700321958,474.811421908359,465.946231346979,382.89579557774,389.251314098937,405.162439590182,358.669502472894,364.212268067149,227.55351409082,223.868217410712,435.532471655998,200.707768451293,179.718983627781,488.365416275664,541.203516493611,184.133624774314,406.603598630154,404.438478067764,422.8518310691,404.558003106425,390.28233545266,358.713199896093,548.433696389222,530.418108673081,661.94820478745,636.236367664936,634.411208932821,634.00251017678,725.425595833466,944.77313917776,929.278526539245,908.391872493838,844.105243266657,837.994298124538,828.613190834388,806.711982708201,794.707486384284,862.292411323459,849.72486820862,3770.18302805031,821.707569071792,859.629666568029,837.832575957841,1114.15154668152,1200.11050189446,1198.57396946041,1287.29260559734,1287.44975851928,1400.89050354725,3451.41502487887,1464.01373293273,1595.38672822747,3190.3731205973,3397.73209744069,1631.62667503446,1877.65143692043,5464.6673704569,3064.10872931395,1638.82531653109,3019.21322334585,2048.31432778852,1753.65275169865,2042.13033865054,1733.15815542113,2039.72951576621,1764.66183032317,1749.25370963849,1753.04228220366,3490.76634538199,2951.09564204421,1805.78931011354,2154.29558883936,2951.28386663112,2267.23264781235,3492.9578687808,2728.77930827946,4627.726072295,4560.43127062231,2521.87204632827,4068.09659462249,4371.61227217614,4498.19779442129,4478.01956641367
"Patuxent",3070.94807211149,2853.05958419817,2853.91184969622,2716.00371737833,2705.43557452443,2707.27490691136,2615.52039760057,2617.22552184776,2416.39309022058,2438.24129613559,2450.15800110172,2449.50034732507,2322.97548516987,2329.22254930416,1247.7077301896,1241.79566880309,1246.83347509452,1242.44392087406,1182.96468191597,1138.67801255758,1138.69710691656,1096.68799294114,1086.71639309876,1093.13562203008,1555.82423282554,978.428778773646,896.351184813684,897.092619372573,793.878400701484,680.616387936622,677.723109523023,409.390868495681,585.807483192404,592.163001713601,358.404429217985,311.911492100697,317.454257694952,439.217768336106,435.532471655998,378.9771088047,412.372022696578,391.383237873067,441.607405903467,494.445506121414,395.797879019599,359.845588257957,357.680467695567,366.296468217802,357.799992734228,343.524325080463,311.955189523896,556.437769429147,540.175341145527,675.584033957334,649.87219683482,648.047038102705,647.638339346664,739.061425003351,963.51796933871,948.023356700196,927.136702654788,862.850073427607,856.739128285488,847.358020995339,825.456812869152,813.452316545235,881.288573283198,868.72103016836,3791.72776967192,840.703731031532,878.625828527769,856.828737917581,1135.69628830313,1221.65524351607,1220.11871108202,1308.83734721895,1308.99450014089,1422.43524516886,3472.95976650048,1485.55847455434,1616.93146984908,3211.91786221891,3419.2768390623,1653.17141665607,1899.19617854204,5486.21211207851,3085.65347093556,1660.3700581527,3040.75796496746,2069.85906941013,1775.19749332026,2063.67508027216,1754.70289704274,2061.27425738782,1786.20657194478,1770.7984512601,1774.58702382528,3512.3110870036,2972.64038366582,1827.33405173515,2175.84033046097,2972.82860825273,2288.77738943395,3514.50261040241,2750.32404990107,4649.27081391661,4581.97601224392,2543.41678794988,4089.6413362441,4393.15701379775,4519.74253604291,4499.56430803528
