gid,name,year,winter_sst,spring_sst,summer_sst,fall_sst
1,St. Johns,1900,18.4166666666667,23.75,27.8333333333333,21.8333333333333
1,St. Johns,1901,18,23.5833333333333,27.5,20.1666666666667
1,St. Johns,1902,17.4166666666667,24.25,27.4166666666667,22.6666666666667
1,St. Johns,1903,18.5,23.3333333333333,27.3333333333333,21
1,St. Johns,1904,17.5,23.6666666666667,27.4166666666667,20.75
1,St. Johns,1905,17.5,24.75,27.5,21.6666666666667
1,St. Johns,1906,18.5833333333333,23.5833333333333,27.4166666666667,21.25
1,St. Johns,1907,19.8333333333333,24.0833333333333,27.5,21.4166666666667
1,St. Johns,1908,18,24.9166666666667,27.8333333333333,21
1,St. Johns,1909,19.1666666666667,24.5,27.6666666666667,21
1,St. Johns,1910,18.4166666666667,24.3333333333333,27.1666666666667,21.1666666666667
1,St. Johns,1911,19.8333333333333,24.25,27.5833333333333,22.3333333333333
1,St. Johns,1912,18.6666666666667,24.8333333333333,28.1666666666667,21.9166666666667
1,St. Johns,1913,19.8333333333333,23.5833333333333,27.5,21.5
1,St. Johns,1914,17.8333333333333,23.9166666666667,27.5,22.3333333333333
1,St. Johns,1915,18.25,24,28.1666666666667,23.0833333333333
1,St. Johns,1916,19.5833333333333,24.5833333333333,27.75,21.9166666666667
1,St. Johns,1917,19.3333333333333,24,27.0833333333333,20.8333333333333
1,St. Johns,1918,18.6666666666667,24.25,27.5,21.9166666666667
1,St. Johns,1919,18.25,24.1666666666667,27.3333333333333,22.9166666666667
1,St. Johns,1920,17.75,24.25,27.6666666666667,21.8333333333333
1,St. Johns,1921,20,24.6666666666667,27.6666666666667,22.5833333333333
1,St. Johns,1922,19.4166666666667,25.0833333333333,27.3333333333333,22.75
1,St. Johns,1923,20.1666666666667,25.0833333333333,27.5,21.8333333333333
1,St. Johns,1924,17.6666666666667,25,28.25,21.75
1,St. Johns,1925,19.6666666666667,24.6666666666667,27.9166666666667,22.6666666666667
1,St. Johns,1926,18.3333333333333,24.4166666666667,28,23.1666666666667
1,St. Johns,1927,19.9166666666667,25,27.9166666666667,22.5833333333333
1,St. Johns,1928,18.5833333333333,24.3333333333333,27.9166666666667,22.6666666666667
1,St. Johns,1929,20,25.25,27.75,22.6666666666667
1,St. Johns,1930,19.4166666666667,24.3333333333333,27.9166666666667,21.25
1,St. Johns,1931,17.3333333333333,23.9166666666667,27.9166666666667,23.5
1,St. Johns,1932,20.5,24.25,27.9166666666667,22.75
1,St. Johns,1933,20.5,24.8333333333333,28.1666666666667,22.3333333333333
1,St. Johns,1934,18.5,24.5833333333333,28.1666666666667,22.3333333333333
1,St. Johns,1935,19,25.0833333333333,27.5,21.9166666666667
1,St. Johns,1936,18.75,24.25,28.1666666666667,22.75
1,St. Johns,1937,20.6666666666667,24.5833333333333,28,21.4166666666667
1,St. Johns,1938,19.1666666666667,24.9166666666667,27.8333333333333,22.25
1,St. Johns,1939,20.3333333333333,24.75,27.8333333333333,22.0833333333333
