gid,name,areasqkm,long_outlet,lat_outlet,ordre,pdam
93,Pearl,22502.86,-89.5264828744249,30.1840957507959,1,1
94,Escambia,10994.59,-87.1869986588541,30.5474851606918,2,1
95,Choctawhatchee,12062.44,-86.1368211590464,30.4272062037018,3,1
99,Ochlockonee,6443.8,-84.4387396068327,29.9794602714836,4,1
98,Aucilla,2469.93,-83.996137230487,30.0850832468076,5,1
97,Ecofina River,604.87,-83.9253330403762,30.0376943527939,6,1
85,Waccasassa,2333.96,-82.8164398707204,29.1572434723382,7,1
86,Withlacoochee,5392.69,-82.7547782589596,29.0019245944418,8,1
91,Manatee,943.64,-82.654463857619,27.5281168603338,9,1
90,Little Manatee,586.56,-82.4693774381326,27.7145207481533,10,1
88,Hillsborough,1698.63,-82.4578476309911,27.9403701084067,11,1
89,Alafia,1091.26,-82.3939511667447,27.854811089483,12,1
87,Myakka,1557.25,-82.1989602873793,26.9559650977769,13,1
96,Peace,6063.17,-82.0782782531587,26.9438310652739,14,1
55,St. Marys,4097.78,-81.4502928202904,30.7094031056253,15,1
56,Nassau,1109.48,-81.4296014822575,30.5060065992272,16,1
38,Satilla,7220.09,-81.4247477431296,30.9947520835842,17,1
1,St. Johns,24604.51,-81.3973992896245,30.400134358449,18,1
3,Altamaha,37402.01,-81.2844582284656,31.3157821876964,19,1
2,Ogeechee,15372.53,-81.0237674410297,31.8438533049897,20,1
10,Savannah,28499.28,-80.8646615058929,32.0362734521014,21,1
59,Coosawatchie,2588.83,-80.6636354441333,32.2516594177392,22,1
60,Salkehatchie,4894.77,-80.4321220175571,32.4584970998355,23,1
50,Edisto,8344.02,-80.1872703688737,32.562942800606,24,1
92,Loxahatchee,696.12,-80.0709743843059,26.9441253762972,25,1
61,Cooper,3274.44,-79.8662003081486,32.753843926302,26,1
11,Santee,39992.56,-79.2478784404616,33.1120785803593,27,1
49,Pee Dee,38392.54,-79.1811873299253,33.2014102347386,28,1
8,Cape Fear,23890.7,-78.0059946892597,33.8850977125776,29,1
42,New,1077.25,-77.4076801547335,34.7095429986313,30,1
39,White Oak,708.15,-77.126148395255,34.7545637592522,31,1
5,Potomac,36801.61,-77.0785676003281,38.7004187160194,32,1
7,Neuse,15703.67,-77.0151553327195,35.0853995116449,33,1
48,Pamlico-Tar,11566.11,-76.9651369998172,35.4669031049334,34,1
