"basin_id","basin_name","year","winter_airt","spring_airt","summer_airt","fall_airt"
1,"Aa",1801,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1802,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1803,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1804,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1805,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1806,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1807,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1808,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1809,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1810,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1811,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1812,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1813,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1814,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1815,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1816,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1817,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1818,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1819,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1820,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1821,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1822,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1823,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1824,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1825,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1826,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1827,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1828,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1829,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1830,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1831,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1832,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1833,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1834,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1835,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1836,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1837,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1838,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1839,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1840,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1841,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1842,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1843,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1844,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1845,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1846,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1847,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1848,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1849,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1850,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1851,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1852,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1853,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1854,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1855,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1856,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1857,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1858,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1859,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1860,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1861,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1862,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1863,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1864,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1865,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1866,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
1,"Aa",1867,3.99111116197374,11.380000172721,15.6222225083245,7.04000011285146
