"basin_id","basin_name","year","winter_sst","spring_sst","summer_sst","fall_sst"
1,"Aa",1801,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1802,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1803,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1804,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1805,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1806,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1807,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1808,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1809,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1810,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1811,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1812,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1813,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1814,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1815,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1816,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1817,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1818,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1819,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1820,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1821,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1822,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1823,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1824,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1825,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1826,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1827,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1828,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1829,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1830,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1831,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1832,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1833,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1834,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1835,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1836,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1837,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1838,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1839,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1840,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1841,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1842,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1843,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1844,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1845,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1846,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1847,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1848,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1849,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1850,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1851,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1852,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1853,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1854,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1855,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1856,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1857,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1858,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1859,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1860,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1861,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1862,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1863,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1864,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
1,"Aa",1865,5.42222222222222,10.0444444444444,15.3333333333333,10.9222222222222
