"","Oum_er_Rbia","Bou_Regreg","Sebou","Loukkos","Barbate","Guadalete","Guadalquivir","Tinto","Odiel","Guadiana","Piedras","Mira","Sado","Tagus","Alcoa","Mondego","Vouga","Douro","Ave","Cavado","Lima","Minho","Lerez","Umia","Ulla","Tambre","Anllons","Oria","Urola","Urumea","Deba","Lea","Artibai","Oiartzun","Nervion","Bidassoa","Nansa","Deva_Cares","Nivelle","Ason","Butron","Eume","Mandeo","Oka","Sella","Barbadun","Pas","Adour","Navia","Nalon_Narcea","Esva","Ouro","Masma","Eo","Grande","Landro","Sor","Leyre","Dordogne","Garonne","Seudre","Charente","Sevre Niortaise","Lay","Auzance","Loire","Vilaine","Scorff","Blavet","Odet","Aulne","Elorn","Rance","Leguer","Couesnon","Selune","Trieux","Orne","Dives","Touques","Vire","Douve","Seine","Bresle","Somme","Tamar","Authie","Canche","Dorset Frome","Hampshire Avon","Aa","Yser","Taff","Avon","Severn","Wye","Thames","Towy","Escaut","Blackwater","Barrow","Meuse","Rhine","Slaney","Shannon","Great_Ouse","Dee","Mersey","Trent","Ems","Weser","Elbe","Eider","Eden","Erne","Tyne","Vida","Bann","Foyle","Clyde","Tweed","Forth","Tay","Lagan","Gudenaa","Gotaalv","Spey","Otra","Drammens","Lagen","Glomma","Imsa","Orkla","Namsen","Vefsna"
"Ulla",1426.55230181534,1245.21039149634,1223.82721015041,1102.2592791514,1079.5019577716,962.445473894491,938.463962537688,896.56496453389,883.465207323084,838.161393878617,863.437726206141,634.260289656865,581.432957516099,571.574119981356,423.6140406114,353.965159408561,301.686921408425,238.728930276088,224.688703529311,202.125251265075,181.291010846335,166.572727670731,113.922379097806,107.151875416009,42.2061753259326,99.9382446010947,165.534740696898,825.442758982796,825.158039486662,834.187924444617,801.61613231026,811.536198838796,811.536198838796,857.393104009495,725.953661166917,869.975944288674,574.61623774486,572.255296446764,864.251414849069,722.911571217677,722.518111329936,227.417815622679,231.611907849775,751.141412284902,533.058014175577,731.392241505895,661.500840348497,884.998309201162,424.815742743993,450.995975840579,427.824059694077,346.92994027616,350.934127268455,370.893719017343,368.434504402483,317.863237071069,305.419815691599,1032.60366655765,1206.8746852926,1210.57571148323,1165.09643358831,1154.10294527006,1202.13125143031,1188.32151286321,1222.64918617365,1348.46785173577,1341.18326856301,1386.75216035983,1391.05506271586,1427.4825070254,1561.04271627219,1550.29586455202,1792.67561496267,1643.93426250165,1832.11371314165,1839.11493717267,1688.83637674111,1971.40258200706,1978.07019386072,1973.52717042653,1911.58469433691,1908.71491355891,1990.59664675049,2086.29881818033,2088.35282988002,1826.3676804929,2080.2567579063,2098.9953675324,1908.94843359786,1884.67720957834,2146.56772324358,2228.48180803803,2045.62199803248,2072.1901800686,2079.11200804548,2078.63220920794,2160.81962472317,1996.05442072236,2405.44545772514,2245.84133093605,2192.86091269095,2532.55661879815,2521.12862038161,2136.36453958179,3052.49863392713,2570.45694480537,2347.60968348071,2357.52280769224,2582.6124572027,2659.67514011425,2759.18173243234,2775.08888745985,2750.63260743843,2389.72111303022,2730.26063204581,2645.35296836463,2791.277346241,2514.31004232584,2548.7581199958,2490.75124406016,2756.26778695642,2874.35031480435,2848.03718521265,3301.13576478031,3421.31223050158,3170.02738869283,2980.97273091774,2992.16634482116,3338.78802867706,3304.69152385517,3281.85179266346,3085.63894326374,3827.01767322037,3918.24589539289,4118.47779057841
"Tambre",1414.29394304469,1232.9520327257,1211.56885137976,1090.00092038076,1067.24359900095,950.187115123844,926.205603767041,884.306605763244,871.206848552437,825.903035107971,851.179367435494,622.001930886219,569.174598745453,559.31576121071,411.355681840754,341.706800637915,289.428562637779,226.470571505442,212.430344758665,189.866892494429,169.032652075689,154.314368900085,101.664020327159,94.8935166453631,99.9382446010947,35.2599180425596,153.276381926252,813.18440021215,812.899680716016,821.929565673971,789.357773539614,799.277840068149,799.277840068149,845.134745238849,713.695302396271,857.717585518028,562.357878974214,559.996937676117,851.993056078423,710.653212447031,710.259752559289,215.159456852033,219.353549079129,738.883053514256,520.799655404931,719.133882735249,649.242481577851,872.739950430515,412.557383973347,438.737617069933,415.56570092343,334.671581505514,338.675768497809,358.635360246697,356.176145631837,305.604878300423,293.161456920952,1020.345307787,1194.61632652195,1198.31735271258,1152.83807481766,1141.84458649941,1189.87289265967,1176.06315409256,1210.39082740301,1336.20949296512,1328.92490979236,1374.49380158918,1378.79670394522,1415.22414825476,1548.78435750155,1538.03750578137,1780.41725619203,1631.67590373101,1819.855354371,1826.85657840202,1676.57801797046,1959.14422323642,1965.81183509007,1961.26881165589,1899.32633556626,1896.45655478826,1978.33828797984,2074.04045940969,2076.09447110938,1814.10932172225,2067.99839913565,2086.73700876176,1896.69007482722,1872.41885080769,2134.30936447293,2216.22344926738,2033.36363926183,2059.93182129796,2066.85364927483,2066.37385043729,2148.56126595253,1983.79606195172,2393.18709895449,2233.5829721654,2180.6025539203,2520.2982600275,2508.87026161096,2124.10618081115,3040.24027515648,2558.19858603472,2335.35132471007,2345.26444892159,2570.35409843206,2647.41678134361,2746.9233736617,2762.8305286892,2738.37424866778,2377.46275425957,2718.00227327516,2633.09460959399,2779.01898747036,2502.05168355519,2536.49976122516,2478.49288528952,2744.00942818578,2862.0919560337,2835.778826442,3288.87740600966,3409.05387173093,3157.76902992218,2968.7143721471,2979.90798605051,3326.52966990641,3292.43316508453,3269.59343389281,3073.38058449309,3814.75931444973,3905.98753662224,4106.21943180776
"Anllons",1479.89043914049,1298.5485288215,1277.16534747557,1155.59741647656,1132.84009509676,1015.78361121965,991.802099862844,949.903101859047,936.80334464824,891.499531203774,916.775863531297,687.598426982022,634.771094841256,624.912257306513,476.952177936557,407.303296733718,355.025058733582,292.067067601245,278.026840854468,255.463388590232,234.629148171492,219.910864995888,167.260516422962,160.490012741166,165.534740696898,153.276381926252,17.9406041871043,694.326536480062,694.041816983928,703.071701941883,670.499909807526,680.419976336062,680.419976336062,726.276881506762,594.837438664184,738.85972178594,443.500015242126,441.13907394403,733.135192346335,591.795348714943,591.401888827202,96.3015931199453,100.495685347041,620.025189782168,401.941791672843,600.276019003161,530.384617845764,753.882086698428,293.69952024126,319.879753337846,296.707837191343,215.813717773426,219.817904765721,239.777496514609,237.318281899749,186.747014568335,174.303593188865,901.487444054916,1075.75846278986,1079.45948898049,1033.98021108557,1022.98672276733,1071.01502892758,1057.20529036047,1091.53296367092,1217.35162923303,1210.06704606027,1255.6359378571,1259.93884021313,1296.36628452267,1429.92649376946,1419.17964204928,1661.55939245994,1512.81803999892,1700.99749063891,1707.99871466994,1557.72015423838,1840.28635950433,1846.95397135798,1842.4109479238,1780.46847183417,1777.59869105617,1859.48042424775,1955.1825956776,1957.23660737729,1695.25145799016,1949.14053540356,1967.87914502967,1777.83221109513,1753.5609870756,2015.45150074085,2097.36558553529,1914.50577552974,1941.07395756587,1947.99578554274,1947.51598670521,2029.70340222044,1864.93819821963,2274.3292352224,2114.72510843331,2061.74469018822,2401.44039629541,2390.01239787887,2005.24831707906,2921.38241142439,2439.34072230264,2216.49346097798,2226.40658518951,2451.49623469997,2528.55891761152,2628.06550992961,2643.97266495711,2619.5163849357,2258.60489052748,2599.14440954307,2514.2367458619,2660.16112373827,2383.19381982311,2417.64189749307,2359.63502155743,2625.15156445369,2743.23409230161,2716.92096270992,3170.01954227757,3290.19600799885,3038.91116619009,2849.85650841501,2861.05012231842,3207.67180617433,3173.57530135244,3150.73557016072,2954.522720761,3695.90145071764,3787.12967289015,3987.36156807567
"Oria",2139.79845742639,1958.4565471074,1937.07336576146,1815.50543476246,1792.74811338266,1675.69162950555,1651.71011814874,1609.81112014495,1596.71136293414,1551.40754948967,1576.6838818172,1347.50644526792,1294.67911312715,1284.82027559241,1136.86019622245,1067.21131501962,1014.93307701948,951.975085887143,937.934859140366,915.37140687613,894.53716645739,879.818883281786,827.16853470886,820.398031027064,825.442758982796,813.18440021215,694.326536480062,12.7511887679204,28.6544919590498,83.3981437998251,50.82635166547,60.7464181940058,60.7464181940058,60.9713145060139,154.675530353313,73.5541547851923,269.434481089998,267.073539791901,67.8296253455876,169.443662149049,151.239980516331,649.750867508335,653.944959735431,170.813409815528,308.567229190227,168.874460781499,238.269598519296,88.57651969768,463.814776664626,398.546315824932,466.823093614709,542.634500286329,546.638687278624,527.451834054636,524.992619439776,540.353869043273,551.008949596767,236.181877054168,410.452895789117,414.153921979747,368.674644084827,357.681155766578,405.709461926831,391.899723359727,426.227396670171,552.046062232285,544.761479059526,590.330370856349,594.633273212383,631.060717521923,764.620926768712,753.874075048538,996.253825459191,847.512472998172,1035.69192363817,1042.69314766919,892.414587237629,1174.98079250358,1181.64840435724,1177.10538092305,1115.16290483342,1112.29312405543,1194.174857247,1289.87702867685,1291.93104037654,1029.94589098941,1283.83496840282,1302.57357802892,1112.52664409438,1088.25542007485,1350.1459337401,1432.06001853455,1249.200208529,1275.76839056512,1282.69021854199,1282.21041970446,1364.39783521969,1199.63263121888,1609.02366822165,1449.41954143257,1396.43912318747,1736.13482929467,1724.70683087812,1339.94275007831,2256.07684442365,1774.03515530189,1551.18789397723,1561.10101818876,1786.19066769922,1863.25335061077,1962.75994292886,1978.66709795636,1954.21081793495,1593.29932352673,1933.83884254233,1848.93117886115,1994.85555673752,1717.88825282236,1752.33633049232,1694.32945455668,1959.84599745294,2077.92852530087,2051.61539570917,2504.71397527682,2624.8904409981,2373.60559918934,2184.55094141426,2195.74455531767,2542.36623917358,2508.26973435169,2485.43000315998,2289.21715376026,3030.59588371689,3121.82410588941,3322.05600107493
"Urola",2139.51373793026,1958.17182761127,1936.78864626533,1815.22071526632,1792.46339388652,1675.40691000941,1651.42539865261,1609.52640064881,1596.426643438,1551.12282999354,1576.39916232106,1347.22172577179,1294.39439363102,1284.53555609628,1136.57547672632,1066.92659552348,1014.64835752335,951.690366391009,937.650139644232,915.086687379996,894.252446961256,879.534163785652,826.883815212727,820.11331153093,825.158039486662,812.899680716016,694.041816983928,28.6544919590498,10.009580425379,83.1134243036913,50.5416321693361,60.461698697872,60.461698697872,60.6865950098801,154.390810857179,73.2694352890585,269.149761593864,266.788820295767,67.5449058494538,169.158942652915,150.955261020197,649.466148012202,653.660240239297,170.528690319394,308.282509694093,168.589741285365,237.984879023162,88.2918002015461,463.530057168492,398.261596328798,466.538374118575,542.349780790195,546.35396778249,527.167114558502,524.707899943642,540.069149547139,550.724230100633,235.897157558034,410.168176292983,413.869202483613,368.389924588693,357.396436270444,405.424742430697,391.615003863593,425.942677174037,551.761342736151,544.476759563392,590.045651360216,594.348553716249,630.775998025789,764.336207272578,753.589355552404,995.969105963057,847.227753502038,1035.40720414203,1042.40842817305,892.129867741495,1174.69607300745,1181.3636848611,1176.82066142692,1114.87818533729,1112.00840455929,1193.89013775087,1289.59230918072,1291.64632088041,1029.66117149328,1283.55024890668,1302.28885853279,1112.24192459825,1087.97070057872,1349.86121424397,1431.77529903841,1248.91548903286,1275.48367106899,1282.40549904586,1281.92570020832,1364.11311572356,1199.34791172275,1608.73894872552,1449.13482193643,1396.15440369133,1735.85010979853,1724.42211138199,1339.65803058218,2255.79212492751,1773.75043580576,1550.9031744811,1560.81629869262,1785.90594820309,1862.96863111464,1962.47522343273,1978.38237846023,1953.92609843881,1593.0146040306,1933.55412304619,1848.64645936502,1994.57083724139,1717.60353332622,1752.05161099619,1694.04473506055,1959.56127795681,2077.64380580473,2051.33067621303,2504.42925578069,2624.60572150196,2373.32087969321,2184.26622191813,2195.45983582154,2542.08151967744,2507.98501485556,2485.14528366384,2288.93243426412,3030.31116422076,3121.53938639327,3321.77128157879
"Urumea",2148.54362288821,1967.20171256922,1945.81853122329,1824.25060022428,1801.49327884448,1684.43679496737,1660.45528361056,1618.55628560677,1605.45652839596,1560.15271495149,1585.42904727902,1356.25161072974,1303.42427858898,1293.56544105423,1145.60536168428,1075.95648048144,1023.6782424813,960.720251348964,946.680024602187,924.116572337951,903.282331919211,888.564048743607,835.913700170681,829.143196488885,834.187924444617,821.929565673971,703.071701941883,83.3981437998251,83.1134243036913,8.562020585694,59.5715171272911,69.491583655827,69.491583655827,50.0697399462649,163.420695815134,62.6525802254434,278.179646551819,275.818705253722,56.9280507858386,178.18882761087,159.985145978152,658.496032970156,662.690125197252,179.558575277349,317.312394652048,177.61962624332,247.014763981117,77.674945137931,472.559942126447,407.291481286753,475.56825907653,551.37966574815,555.383852740445,536.196999516457,533.737784901597,549.099034505094,559.754115058588,225.280302494419,399.551321229368,403.252347419998,357.773069525078,346.779581206829,394.807887367082,380.998148799978,415.325822110422,541.144487672536,533.859904499777,579.4287962966,583.731698652634,620.159142962174,753.719352208963,742.972500488789,985.352250899442,836.610898438423,1024.79034907842,1031.79157310944,881.51301267788,1164.07921794383,1170.74682979749,1166.2038063633,1104.26133027368,1101.39154949568,1183.27328268725,1278.9754541171,1281.02946581679,1019.04431642966,1272.93339384307,1291.67200346917,1101.62506953463,1077.35384551511,1339.24435918035,1421.1584439748,1238.29863396925,1264.86681600537,1271.78864398224,1271.30884514471,1353.49626065994,1188.73105665913,1598.12209366191,1438.51796687282,1385.53754862772,1725.23325473492,1713.80525631838,1329.04117551856,2245.1752698639,1763.13358074214,1540.28631941748,1550.19944362901,1775.28909313947,1852.35177605102,1951.85836836911,1967.76552339662,1943.3092433752,1582.39774896699,1922.93726798258,1838.0296043014,1983.95398217777,1706.98667826261,1741.43475593257,1683.42787999693,1948.94442289319,2067.02695074112,2040.71382114942,2493.81240071708,2613.98886643835,2362.7040246296,2173.64936685451,2184.84298075792,2531.46466461383,2497.36815979194,2474.52842860023,2278.31557920051,3019.69430915715,3110.92253132966,3311.15442651518
"Deba",2115.97183075386,1934.62992043486,1913.24673908893,1791.67880808992,1768.92148671012,1651.86500283301,1627.88349147621,1585.98449347241,1572.8847362616,1527.58092281714,1552.85725514466,1323.67981859538,1270.85248645462,1260.99364891988,1113.03356954992,1043.38468834708,991.106450346944,928.148459214607,914.10823246783,891.544780203594,870.710539784854,855.99225660925,803.341908036325,796.571404354528,801.61613231026,789.357773539614,670.499909807526,50.82635166547,50.5416321693361,59.5715171272911,8.5208183688625,36.91979152147,36.91979152147,82.7766966921697,130.848903680777,95.3595369713481,245.607854417462,243.246913119366,89.6350075317434,145.617035476513,127.413353843795,625.9242408358,630.118333062895,146.986783142992,284.740602517691,145.047834108963,214.44297184676,110.381901883836,439.98814999209,374.719689152396,442.996466942173,518.807873613793,522.812060606088,503.625207382101,501.16599276724,516.527242370737,527.182322924231,257.987259240324,432.258277975273,435.959304165903,390.480026270982,379.486537952734,427.514844112987,413.705105545883,448.032778856327,573.851444418441,566.566861245682,612.135753042505,616.438655398538,652.866099708078,786.426308954868,775.679457234693,1018.05920764535,869.317855184327,1057.49730582432,1064.49852985534,914.219969423785,1196.78617468974,1203.45378654339,1198.91076310921,1136.96828701958,1134.09850624158,1215.98023943316,1311.68241086301,1313.7364225627,1051.75127317557,1305.64035058897,1324.37896021508,1134.33202628054,1110.06080226101,1371.95131592625,1453.8654007207,1271.00559071515,1297.57377275128,1304.49560072815,1304.01580189061,1386.20321740585,1221.43801340504,1630.82905040781,1471.22492361872,1418.24450537362,1757.94021148082,1746.51221306428,1361.74813226447,2277.8822266098,1795.84053748805,1572.99327616339,1582.90640037491,1807.99604988537,1885.05873279693,1984.56532511501,2000.47248014252,1976.0162001211,1615.10470571289,1955.64422472848,1870.73656104731,2016.66093892367,1739.69363500851,1774.14171267848,1716.13483674284,1981.6513796391,2099.73390748702,2073.42077789532,2526.51935746298,2646.69582318425,2395.4109813755,2206.35632360042,2217.54993750383,2564.17162135973,2530.07511653785,2507.23538534613,2311.02253594641,3052.40126590305,3143.62948807556,3343.86138326108
"Lea",2125.89189728239,1944.5499869634,1923.16680561746,1801.59887461846,1778.84155323866,1661.78506936155,1637.80355800474,1595.90456000095,1582.80480279014,1537.50098934567,1562.7773216732,1333.59988512392,1280.77255298315,1270.91371544841,1122.95363607846,1053.30475487562,1001.02651687548,938.068525743143,924.028298996366,901.46484673213,880.63060631339,865.912323137786,813.26197456486,806.491470883064,811.536198838796,799.277840068149,680.419976336062,60.7464181940058,60.461698697872,69.491583655827,36.91979152147,4.7220432125317,4.7220432125317,92.6967632207056,140.768970209313,105.279603499884,255.527920945998,253.166979647901,99.5550740602793,155.537102005049,137.333420372331,635.844307364335,640.038399591431,156.906849671528,294.660669046227,154.967900637499,224.363038375296,120.301968412372,449.908216520626,384.639755680932,452.916533470709,528.727940142329,532.732127134624,513.545273910636,511.086059295776,526.447308899273,537.102389452767,267.90732576886,442.178344503809,445.879370694439,400.400092799518,389.40660448127,437.434910641523,423.625172074419,457.952845384863,583.771510946977,576.486927774218,622.055819571041,626.358721927074,662.786166236614,796.346375483404,785.599523763229,1027.97927417388,879.237921712863,1067.41737235286,1074.41859638388,924.140035952321,1206.70624121827,1213.37385307193,1208.83082963774,1146.88835354812,1144.01857277012,1225.9003059617,1321.60247739154,1323.65648909123,1061.67133970411,1315.56041711751,1334.29902674361,1144.25209280907,1119.98086878955,1381.87138245479,1463.78546724924,1280.92565724369,1307.49383927981,1314.41566725669,1313.93586841915,1396.12328393438,1231.35807993357,1640.74911693635,1481.14499014726,1428.16457190216,1767.86027800936,1756.43227959282,1371.668198793,2287.80229313834,1805.76060401658,1582.91334269192,1592.82646690345,1817.91611641391,1894.97879932546,1994.48539164355,2010.39254667106,1985.93626664964,1625.02477224143,1965.56429125702,1880.65662757584,2026.58100545221,1749.61370153705,1784.06177920701,1726.05490327137,1991.57144616763,2109.65397401556,2083.34084442386,2536.43942399152,2656.61588971279,2405.33104790404,2216.27639012895,2227.47000403237,2574.09168788827,2539.99518306638,2517.15545187467,2320.94260247495,3062.32133243158,3153.5495546041,3353.78144978962
"Artibai",2125.89189728239,1944.5499869634,1923.16680561746,1801.59887461846,1778.84155323866,1661.78506936155,1637.80355800474,1595.90456000095,1582.80480279014,1537.50098934567,1562.7773216732,1333.59988512392,1280.77255298315,1270.91371544841,1122.95363607846,1053.30475487562,1001.02651687548,938.068525743143,924.028298996366,901.46484673213,880.63060631339,865.912323137786,813.26197456486,806.491470883064,811.536198838796,799.277840068149,680.419976336062,60.7464181940058,60.461698697872,69.491583655827,36.91979152147,4.7220432125317,4.7220432125317,92.6967632207056,140.768970209313,105.279603499884,255.527920945998,253.166979647901,99.5550740602793,155.537102005049,137.333420372331,635.844307364335,640.038399591431,156.906849671528,294.660669046227,154.967900637499,224.363038375296,120.301968412372,449.908216520626,384.639755680932,452.916533470709,528.727940142329,532.732127134624,513.545273910636,511.086059295776,526.447308899273,537.102389452767,267.90732576886,442.178344503809,445.879370694439,400.400092799518,389.40660448127,437.434910641523,423.625172074419,457.952845384863,583.771510946977,576.486927774218,622.055819571041,626.358721927074,662.786166236614,796.346375483404,785.599523763229,1027.97927417388,879.237921712863,1067.41737235286,1074.41859638388,924.140035952321,1206.70624121827,1213.37385307193,1208.83082963774,1146.88835354812,1144.01857277012,1225.9003059617,1321.60247739154,1323.65648909123,1061.67133970411,1315.56041711751,1334.29902674361,1144.25209280907,1119.98086878955,1381.87138245479,1463.78546724924,1280.92565724369,1307.49383927981,1314.41566725669,1313.93586841915,1396.12328393438,1231.35807993357,1640.74911693635,1481.14499014726,1428.16457190216,1767.86027800936,1756.43227959282,1371.668198793,2287.80229313834,1805.76060401658,1582.91334269192,1592.82646690345,1817.91611641391,1894.97879932546,1994.48539164355,2010.39254667106,1985.93626664964,1625.02477224143,1965.56429125702,1880.65662757584,2026.58100545221,1749.61370153705,1784.06177920701,1726.05490327137,1991.57144616763,2109.65397401556,2083.34084442386,2536.43942399152,2656.61588971279,2405.33104790404,2216.27639012895,2227.47000403237,2574.09168788827,2539.99518306638,2517.15545187467,2320.94260247495,3062.32133243158,3153.5495546041,3353.78144978962
"Oiartzun",2171.74880245309,1990.4068921341,1969.02371078816,1847.45577978916,1824.69845840936,1707.64197453225,1683.66046317544,1641.76146517165,1628.66170796084,1583.35789451637,1608.6342268439,1379.45679029462,1326.62945815385,1316.77062061911,1168.81054124915,1099.16166004632,1046.88342204618,983.925430913843,969.885204167065,947.321751902829,926.48751148409,911.769228308485,859.11887973556,852.348376053764,857.393104009495,845.134745238849,726.276881506762,60.9713145060139,60.6865950098801,50.0697399462649,82.7766966921697,92.6967632207056,92.6967632207056,14.7065213151387,186.625875380012,40.2257509316321,301.384826116698,299.023884818601,34.5012214920274,201.394007175749,183.19032554303,681.701212535035,685.895304762131,202.763754842228,340.517574216927,200.824805808198,270.219943545996,55.2481158441197,495.765121691325,430.496660851631,498.773438641409,574.584845313029,578.589032305324,559.402179081336,556.942964466476,572.304214069972,582.959294623467,202.853473200608,377.124491935557,380.825518126187,335.346240231266,324.352751913018,372.381058073271,358.571319506167,392.898992816611,518.717658378725,511.433075205966,557.001967002789,561.304869358822,597.732313668363,731.292522915152,720.545671194977,962.925421605631,814.184069144611,1002.36351978461,1009.36474381563,859.086183384069,1141.65238865002,1148.32000050368,1143.77697706949,1081.83450097986,1078.96472020187,1160.84645339344,1256.54862482329,1258.60263652298,996.617487135853,1250.50656454926,1269.24517417536,1079.19824024082,1054.92701622129,1316.81752988654,1398.73161468099,1215.87180467544,1242.43998671156,1249.36181468843,1248.8820158509,1331.06943136613,1166.30422736532,1575.69526436809,1416.09113757901,1363.11071933391,1702.80642544111,1691.37842702456,1306.61434622475,2222.74844057009,1740.70675144833,1517.85949012367,1527.7726143352,1752.86226384566,1829.92494675721,1929.4315390753,1945.3386941028,1920.88241408139,1559.97091967317,1900.51043868877,1815.60277500759,1961.52715288396,1684.5598489688,1719.00792663876,1661.00105070312,1926.51759359938,2044.6001214473,2018.28699185561,2471.38557142326,2591.56203714454,2340.27719533578,2151.2225375607,2162.41615146411,2509.03783532002,2474.94133049813,2452.10159930642,2255.8887499067,2997.26747986333,3088.49570203585,3288.72759722137
"Nervion",2040.30935961052,1858.96744929152,1837.58426794559,1716.01633694658,1693.25901556678,1576.20253168967,1552.22102033286,1510.32202232907,1497.22226511826,1451.91845167379,1477.19478400132,1248.01734745204,1195.19001531128,1185.33117777653,1037.37109840658,967.722217203737,915.443979203601,852.485988071265,838.445761324487,815.882309060251,795.048068641512,780.329785465907,727.679436892982,720.908933211186,725.953661166917,713.695302396271,594.837438664184,154.675530353313,154.390810857179,163.420695815134,130.848903680777,140.768970209313,140.768970209313,186.625875380012,16.3227506818938,199.208715659191,169.94538327412,167.584441976023,193.484186219586,69.9545643331712,23.8898998122041,550.261769692457,554.455861919553,80.3741836554189,209.078131374349,78.4352346213892,138.780500703418,214.231080571678,364.325678848748,299.057218009054,367.333995798831,443.145402470451,447.149589462746,427.962736238758,425.503521623898,440.864771227394,451.519851780889,361.836437928167,536.107456663115,539.808482853746,494.329204958825,483.335716640577,531.364022800829,517.554284233725,551.881957544169,677.700623106284,670.416039933525,715.984931730348,720.287834086381,756.715278395921,890.275487642711,879.528635922536,1121.90838633319,973.16703387217,1161.34648451216,1168.34770854319,1018.06914811163,1300.63535337758,1307.30296523124,1302.75994179705,1240.81746570742,1237.94768492943,1319.829418121,1415.53158955085,1417.58560125054,1155.60045186341,1409.48952927681,1428.22813890292,1238.18120496838,1213.90998094885,1475.8004946141,1557.71457940855,1374.854769403,1401.42295143912,1408.34477941599,1407.86498057846,1490.05239609369,1325.28719209288,1734.67822909565,1575.07410230656,1522.09368406147,1861.78939016867,1850.36139175212,1465.59731095231,2381.73140529764,1899.68971617589,1676.84245485123,1686.75557906276,1911.84522857322,1988.90791148477,2088.41450380286,2104.32165883036,2079.86537880895,1718.95388440073,2059.49340341632,1974.58573973515,2120.51011761152,1843.54281369636,1877.99089136632,1819.98401543068,2085.50055832694,2203.58308617486,2177.26995658317,2630.36853615082,2750.5450018721,2499.26016006334,2310.20550228826,2321.39911619167,2668.02080004758,2633.92429522569,2611.08456403398,2414.87171463426,3156.25044459089,3247.4786667634,3447.71056194892
"Bidassoa",2184.33164273227,2002.98973241328,1981.60655106734,1860.03862006833,1837.28129868853,1720.22481481142,1696.24330345462,1654.34430545082,1641.24454824002,1595.94073479555,1621.21706712307,1392.0396305738,1339.21229843303,1329.35346089829,1181.39338152833,1111.74450032549,1059.46626232536,996.508271193021,982.468044446244,959.904592182008,939.070351763268,924.352068587664,871.701720014739,864.931216332942,869.975944288674,857.717585518028,738.85972178594,73.5541547851923,73.2694352890585,62.6525802254434,95.3595369713481,105.279603499884,105.279603499884,40.2257509316321,199.208715659191,12.3019944836201,313.967666395876,311.60672509778,20.1501740589431,213.976847454927,195.773165822209,694.284052814214,698.478145041309,215.346595121406,353.100414496105,213.407646087377,282.802783825174,44.5798380309167,508.347961970504,443.07950113081,511.356278920587,587.167685592207,591.171872584502,571.985019360515,569.525804745654,584.887054349151,595.542134902645,192.185195387405,366.456214122354,370.157240312984,324.677962418063,313.684474099815,361.712780260068,347.903041692964,382.230715003408,508.049380565522,500.764797392763,546.333689189586,550.636591545619,587.064035855159,720.624245101949,709.877393381774,952.257143792428,803.515791331408,991.695241971402,998.696466002425,848.417905570866,1130.98411083682,1137.65172269047,1133.10869925629,1071.16622316666,1068.29644238866,1150.17817558024,1245.88034701009,1247.93435870978,985.94920932265,1239.83828673605,1258.57689636216,1068.52996242762,1044.25873840809,1306.14925207334,1388.06333686778,1205.20352686223,1231.77170889836,1238.69353687523,1238.21373803769,1320.40115355293,1155.63594955212,1565.02698655489,1405.4228597658,1352.4424415207,1692.1381476279,1680.71014921136,1295.94606841155,2212.08016275688,1730.03847363513,1507.19121231047,1517.10433652199,1742.19398603246,1819.25666894401,1918.7632612621,1934.6704162896,1910.21413626819,1549.30264185997,1889.84216087556,1804.93449719439,1950.85887507076,1673.89157115559,1708.33964882556,1650.33277288992,1915.84931578618,2033.9318436341,2007.6187140424,2460.71729361006,2580.89375933133,2329.60891752258,2140.5542597475,2151.74787365091,2498.36955750681,2464.27305268493,2441.43332149321,2245.22047209349,2986.59920205013,3077.82742422264,3278.05931940816
