"","NOM","ID","Long","Lat","Year","Winter","Spring","summer","Autumn"
"1","Aa",1,2.25,50.75,2000,6.13333333333333,12.6333333333333,16.3,8.33333333333333
"2","Adour",3,-0.75,43.75,2000,8.86666666666667,16.3333333333333,20.7666666666667,11.8666666666667
"3","Ason",289,-3.25,43.25,2000,7.56666666666667,13.7333333333333,18.1333333333333,10.8666666666667
"4","Aulne",14,-4.25,48.25,2000,7.6,12.2333333333333,16.3,9.73333333333333
"5","Authie",15,1.75,50.25,2000,6.6,12.9666666666667,16.8,8.96666666666667
"6","Auzance",16,-1.75,46.75,2000,8.03333333333333,14.7333333333333,18.9,10.7666666666667
"7","Bidassoa",284,-1.75,43.25,2000,7.73333333333333,14.6666666666667,19.5333333333333,11.2
"8","Blavet",23,-3.25,47.75,2000,8.06666666666667,13.2666666666667,17.3333333333333,10.4
"9","Bresle",25,1.25,50.25,2000,6.56666666666667,13.2,17.0333333333333,8.6
"10","Canche",29,1.75,50.25,2000,6.6,12.9666666666667,16.8,8.96666666666667
"11","Charente",32,-0.75,45.75,2000,8.03333333333333,15.3666666666667,19.6666666666667,10.9666666666667
"12","Couesnon",36,-1.25,48.75,2000,6.96666666666667,12.8666666666667,17.3,9.53333333333333
"13","Deva_Cares",279,-2.25,43.25,2000,8.86666666666667,14.9,19.3666666666667,12.2333333333333
"14","Dives",41,-0.25,49.25,2000,7,13,17.3,9.53333333333333
"15","Douro",45,-8.25,41.25,2000,9.73333333333333,15.0333333333333,19.3666666666667,11.3
"16","Douve",46,-1.25,49.25,2000,7.4,12.6666666666667,17.3,9.96666666666667
"17","Drammens",47,10.25,59.75,2000,-0.233333333333333,9.86666666666667,13.6333333333333,5.3
"18","Eider",331,7.25,53.25,2000,4.7,12.4,15.3333333333333,7.3
"19","Elbe",51,9.5,53.75,2000,4.45,12.95,15.3166666666667,7.63333333333333
"20","Elorn",52,-4.25,48.25,2000,7.6,12.2333333333333,16.3,9.73333333333333
"21","Ems",53,7.25,53.25,2000,4.7,12.4,15.3333333333333,7.3
"22","Eo",290,-7.25,43.75,2000,9.63333333333333,14.6333333333333,18.8666666666667,11.7333333333333
"23","Escaut",55,4.25,51.25,2000,6.2,13.9666666666667,16.8666666666667,8.4
"24","Esva",281,-6.25,43.75,2000,9.46666666666667,14.4,18.4333333333333,11.9
"25","Garonne",60,-0.75,45.25,2000,8.3,15.6666666666667,19.9,11.1
"26","Glomma",62,11.25,59.75,2000,0.266666666666667,10.0333333333333,13.5,5.33333333333333
"27","Guadalquivir",67,-6.25,37.25,2000,12.9666666666667,19.9666666666667,25.9333333333333,15.0666666666667
"28","Guadiana",68,-7.25,37.25,2000,13.4,19.8333333333333,24.4333333333333,15.4666666666667
"29","Lagen",82,10,59.25,2000,0.516666666666667,10.05,14,6.13333333333333
"30","Landro",315,-7.75,43.75,2000,9.93333333333333,14.3666666666667,18.3666666666667,12.0666666666667
"31","Lay",84,-1.25,46.25,2000,8.1,15.1666666666667,19.4333333333333,11.2
"32","Leff",85,-3.25,48.75,2000,7.76666666666667,12.5333333333333,16.8,10.1666666666667
"33","Leguer",86,-3.25,48.75,2000,7.76666666666667,12.5333333333333,16.8,10.1666666666667
"34","Lerez",314,-8.75,42.25,2000,10.7,15.7,19.9333333333333,12.4333333333333
"35","Leyre",87,-0.75,44.75,2000,8.36666666666667,15.8333333333333,20.0666666666667,11.2333333333333
"36","Lima",88,-8.75,41.75,2000,10.9666666666667,15.5333333333333,19.7666666666667,12.4666666666667
"37","Loire",89,-1.75,47.25,2000,7.53333333333333,14.3,18.5,10.1666666666667
"38","Mandeo",313,-8.25,43.25,2000,9.73333333333333,14.6666666666667,18.8333333333333,11.9
"39","Masma",312,-7.25,43.75,2000,9.63333333333333,14.6333333333333,18.8666666666667,11.7333333333333
"40","Meuse",96,5.5,51.75,2000,5.7,13.5833333333333,16.15,8.26666666666667
"41","Minho",98,-8.25,42.25,2000,8.46666666666667,14.1,18.9,10.1333333333333
"42","Mondego",100,-8.25,41.25,2000,9.73333333333333,15.0333333333333,19.3666666666667,11.3
"43","Nalon_Narcea",278,-6.25,43.75,2000,9.46666666666667,14.4,18.4333333333333,11.9
"44","Nansa",292,-4.25,43.25,2000,7.06666666666667,13.0666666666667,17.6,10
"45","Navia",103,-6.25,43.25,2000,5.43333333333333,11.7,16.3333333333333,8
"46","Nervion",286,-3.25,43.25,2000,7.56666666666667,13.7333333333333,18.1333333333333,10.8666666666667
"47","Nivelle",110,-1.75,43.25,2000,7.73333333333333,14.6666666666667,19.5333333333333,11.2
"48","Odet",112,-4.25,48.25,2000,7.6,12.2333333333333,16.3,9.73333333333333
"49","Oria",285,-2.25,43.25,2000,8.86666666666667,14.9,19.3666666666667,12.2333333333333
"50","Orne",116,-0.25,49.25,2000,7,13,17.3,9.53333333333333
"51","Otra",117,7.75,58.25,2000,0.433333333333333,9.66666666666667,13.3333333333333,5.4
"52","Pas",291,-3.75,43.25,2000,7.4,13.4333333333333,17.8333333333333,10.5333333333333
"53","Rance",124,-1.75,48.75,2000,7.7,13.3666666666667,17.7666666666667,10.1333333333333
"54","Rhine",125,5.5,51.75,2000,5.7,13.5833333333333,16.15,8.26666666666667
"55","Sado",128,-8.75,38.25,2000,13.1666666666667,18,22.7333333333333,15.3333333333333
"56","Scorff",133,-3.25,47.75,2000,8.06666666666667,13.2666666666667,17.3333333333333,10.4
"57","Seine",136,0.75,49.25,2000,6.8,13.3333333333333,17.4,9.3
"58","Sella",280,-5.25,43.25,2000,5.66666666666667,11.9,16.6,8.5
"59","Selune",137,-1.25,48.75,2000,6.96666666666667,12.8666666666667,17.3,9.53333333333333
"60","Seudre",138,-0.75,45.75,2000,8.03333333333333,15.3666666666667,19.6666666666667,10.9666666666667
"61","Sevre_Niortaise",140,-1.25,46.25,2000,8.1,15.1666666666667,19.4333333333333,11.2
"62","Sienne",319,-1.75,48.75,2000,7.7,13.3666666666667,17.7666666666667,10.1333333333333
"63","Somme",146,1.75,50.25,2000,6.6,12.9666666666667,16.8,8.96666666666667
"64","Tagus",151,-8.75,39.25,2000,12.3333333333333,17.3333333333333,22.1666666666667,14.4333333333333
"65","Touques",162,0.75,49.25,2000,6.8,13.3333333333333,17.4,9.3
"66","Trieux",165,-3.25,48.75,2000,7.76666666666667,12.5333333333333,16.8,10.1666666666667
"67","Ulla",288,-8.75,42.75,2000,9.96666666666667,15.2333333333333,19.3666666666667,12.0666666666667
"68","Urumea",282,-1.75,43.25,2000,7.73333333333333,14.6666666666667,19.5333333333333,11.2
"69","Vida",173,8.75,54.75,2000,4.06666666666667,12.2,14.8333333333333,7.46666666666667
"70","Vilaine",176,-2.25,47.75,2000,7.36666666666667,13.5333333333333,17.8,9.93333333333333
"71","Vire",178,-1.25,49.25,2000,7.4,12.6666666666667,17.3,9.96666666666667
"72","Weser",183,8.75,53.25,2000,4.76666666666667,13.3333333333333,15.5333333333333,7.7
"73","Yser",187,2.75,51.25,2000,6.63333333333333,13.5333333333333,16.9666666666667,8.6
"74","Aa",1,2.25,50.75,2001,5.23333333333333,11.3333333333333,16.7333333333333,8.3
"75","Adour",3,-0.75,43.75,2001,8.6,15.0333333333333,21.1666666666667,11.1333333333333
"76","Ason",289,-3.25,43.25,2001,7.03333333333333,12.5333333333333,18.6,10.2666666666667
"77","Aulne",14,-4.25,48.25,2001,6.8,11.5333333333333,16.0666666666667,10.2
"78","Authie",15,1.75,50.25,2001,5.76666666666667,11.9,17.3333333333333,9.03333333333333
"79","Auzance",16,-1.75,46.75,2001,7.43333333333333,13.8333333333333,19.0333333333333,10.5666666666667
"80","Bidassoa",284,-1.75,43.25,2001,6.7,12.7,19.0333333333333,10.1333333333333
"81","Blavet",23,-3.25,47.75,2001,7.3,12.4666666666667,17.2,10.6333333333333
"82","Bresle",25,1.25,50.25,2001,5.73333333333333,12.3,17.6666666666667,8.93333333333333
"83","Canche",29,1.75,50.25,2001,5.76666666666667,11.9,17.3333333333333,9.03333333333333
"84","Charente",32,-0.75,45.75,2001,7.63333333333333,14.4666666666667,19.9666666666667,10.6333333333333
"85","Couesnon",36,-1.25,48.75,2001,6.2,12.1666666666667,17.7,9.8
"86","Deva_Cares",279,-2.25,43.25,2001,8.23333333333333,13.5333333333333,19.4,11.2333333333333
"87","Dives",41,-0.25,49.25,2001,6.23333333333333,12.0666666666667,17.6333333333333,9.83333333333333
"88","Douro",45,-8.25,41.25,2001,8.5,14.6333333333333,20.4,11.3
"89","Douve",46,-1.25,49.25,2001,6.53333333333333,12.0666666666667,17.7,10.4333333333333
"90","Drammens",47,10.25,59.75,2001,-3.23333333333333,8.96666666666667,14.5666666666667,4.46666666666667
