;NOM;ID;Long;Lat;Year;Winter;Spring;summer;Autumn
72;Weser;183;8.75;53.25;1801;3.205402721;12.02113111;18.31683072;7.514377478
73;Yser;187;2.75;51.25;1801;5.436009263;13.07093302;18.55302198;9.293292421
74;Aa;1;2.25;50.75;1802;5.901188706;12.74660145;18.17791933;9.775341612
75;Adour;3;-0.75;43.75;1802;10.8478634;16.13125055;21.18066684;13.69873417
76;Ason;289;-3.25;43.25;1802;11.59657426;15.41549405;20.18143995;14.64063795
77;Aulne;14;-4.25;48.25;1802;8.606478604;12.90419885;17.49279323;11.68520008
78;Authie;15;1.75;50.25;1802;5.242026589;12.75550241;17.98976921;8.570819277
79;Auzance;16;-1.75;46.75;1802;7.566385905;14.15767693;19.49963749;10.54699707
80;Bidassoa;284;-1.75;43.25;1802;4.792089289;11.55380804;16.6441151;7.156072443
81;Blavet;23;-3.25;47.75;1802;6.987771699;12.50595925;17.39588512;10.01198971
82;Bresle;25;1.25;50.25;1802;5.242026589;12.75550241;17.98976921;8.570819277
83;Canche;29;1.75;50.25;1802;5.901188706;12.74660145;18.17791933;9.775341612
84;Charente;32;-0.75;45.75;1802;9.818679347;15.15386038;20.37257709;12.84755268
85;Couesnon;36;-1.25;48.75;1802;5.677861069;12.2919478;17.41498912;8.589176987
86;Deva_Cares;279;-2.25;43.25;1802;5.127417362;11.26612623;16.1364071;7.405676639
87;Dives;41;-0.25;49.25;1802;6.758378462;12.95171287;18.22304281;10.38011031
88;Douro;45;-8.25;41.25;1802;9.699079109;14.340861;19.89746094;12.23048817
89;Douve;46;-1.25;49.25;1802;7.613628041;12.98177268;18.02831199;11.20263672
90;Drammens;47;10.25;59.75;1802;-5.519149318;6.532294996;13.67980865;-0.276583585
91;Eider;331;7.25;53.25;1802;3.205402721;12.02113111;18.31683072;7.514377478
92;Elbe;51;9.5;53.75;1802;2.137810909;12.07003229;18.29514012;6.122696385
93;Elorn;52;-4.25;48.25;1802;8.606478604;12.90419885;17.49279323;11.68520008
94;Ems;53;7.25;53.25;1802;4.454292066;11.80048347;18.33567486;9.227103493
95;Eo;290;-7.25;43.75;1802;11.1922182;14.18814457;18.59494666;14.03218772
96;Escaut;55;4.25;51.25;1802;4.440815319;13.06289303;18.43088693;8.060631954
97;Esva;281;-6.25;43.75;1802;11.1922182;14.18814457;18.59494666;14.03218772
98;Garonne;60;-0.75;45.25;1802;7.51587284;15.05742853;20.7118669;10.11161943
99;Glomma;62;11.25;59.75;1802;-4.918642911;9.0286819;15.39473193;0.139831543
100;Guadalquivir;67;-6.25;37.25;1802;10.32131033;18.05650561;25.90169363;13.50355484
101;Guadiana;68;-7.25;37.25;1802;14.05715388;18.58301706;23.99671705;17.19185754
102;Lagen;82;10;59.25;1802;-5.519149318;6.532294996;13.67980865;-0.276583585
103;Landro;315;-7.75;43.75;1802;11.1922182;14.18814457;18.59494666;14.03218772
104;Lay;84;-1.25;46.25;1802;7.566385905;14.15767693;19.49963749;10.54699707
105;Leff;85;-3.25;48.75;1802;6.987771699;12.50595925;17.39588512;10.01198971
106;Leguer;86;-3.25;48.75;1802;8.606478604;12.90419885;17.49279323;11.68520008
107;Lerez;314;-8.75;42.25;1802;8.835502856;12.93660482;17.83156794;11.34443988
