nom des bv;Guadalquivir;Guadiana;Sado;Tagus;Mondego;Douro;Lima;Minho;Lerez;Ulla;Mandeo;Landro;Masma;Eo;Navia;Esva;Nalon_Narcea;Sella;Nansa;Pas;Ason;Nervion;Deva_Cares;Oria;Urumea;Bidassoa;Nivelle;Adour;Leyre;Garonne;Seudre;Charente;Sevre_Niortaise;Lay;Auzance;Loire;Vilaine;Blavet;Scorff;Odet;Aulne;Elorn;Leguer;Leff;Trieux;Rance;Couesnon;Selune;Sienne;Douve;Vire;Orne;Dives;Touques;Seine;Bresle;Somme;Authie;Canche;Aa;Yser;Escaut;Meuse;Rhine;Ems;Weser;Elbe;Eider;Vida;Otra;Lagen;Drammens;Glomma
Final states;2;2;2;2;2;1;2;1;2;2;2;2;1;1;0;1;1;0;0;0;0;0;2;2;2;2;2;2;2;1;2;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
year of first non nul reproduction;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;4;4;0;0;0;0;0;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
year of last nul reproduction;3;3;3;3;3;3;3;3;3;3;3;3;3;3;100;3;3;100;100;100;100;100;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;37;27;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
mean last recruitment;4313006.5;4069630.3;515716.2;5190980.9;250324;3053530.2;116062.2;139996.2;18267.9;80618.6;7491;2557.2;2791.1;1037.9;0;408.9;158.6;0;0;0;0;0;22905.2;19257.5;4551.9;11548.8;2343.5;840692.6;101056;15078.3;8061.8;97575.5;5538.8;38733.5;13178.9;937.6;167.3;10.7;18.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
geo mean of last 10 years R/alpha;0.850597646;0.875513262;0.95244705;0.967908423;0.951698451;0.812266439;1.049860178;0.556213234;0.949282611;0.923897545;1.028667985;0.775805069;0.649998583;0.086330063;0;0.080391497;0.003807392;0;0;0;0;0;0.773716419;0.879413597;0.934141489;0.90678906;0.94481481;1.010549611;0.886875285;0.00391273;0.893494345;0.098243534;0.003969628;0.466329438;0.71317331;2.99E-04;0.001545342;0.002345453;0.02492937;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mean last percentage of autochtone;82.48723208;73.87844337;26.83328868;93.38847128;16.13262759;89.35889199;21.66228001;30.67246886;7.107697003;26.27929084;15.19850375;16.70672922;25.94880684;13.30959236;0;10.5976352;3.502501492;0;0;0;0;0;31.8113907;25.8247317;7.786982964;16.32400898;3.797141117;99.12066616;68.32091788;32.21417237;25.35428038;65.14885225;25.89892429;73.56937321;59.72754125;10.6660561;2.532776315;0.068965517;0.29335605;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
