nom des bv;Guadalquivir;Guadiana;Sado;Tagus;Mondego;Douro;Lima;Minho;Lerez;Ulla;Mandeo;Landro;Masma;Eo;Navia;Esva;Nalon_Narcea;Sella;Nansa;Pas;Ason;Nervion;Deva_Cares;Oria;Urumea;Bidassoa;Nivelle;Adour;Leyre;Garonne;Seudre;Charente;Sevre_Niortaise;Lay;Auzance;Loire;Vilaine;Blavet;Scorff;Odet;Aulne;Elorn;Leguer;Leff;Trieux;Rance;Couesnon;Selune;Sienne;Douve;Vire;Orne;Dives;Touques;Seine;Bresle;Somme;Authie;Canche;Aa;Yser;Escaut;Meuse;Rhine;Ems;Weser;Elbe;Eider;Vida;Otra;Lagen;Drammens;Glomma
Final states;2;2;2;2;2;2;2;1;2;2;2;1;1;1;0;1;1;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
year of first non nul reproduction;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;4;4;0;0;0;0;0;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
year of last nul reproduction;3;3;3;3;3;3;3;3;3;3;3;3;3;3;100;3;3;100;100;100;100;100;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;23;28;100;100;100;100;100;100;94;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
mean last recruitment;5306814.7;4531444.5;500792.6;5244726.5;239255.9;3341045.9;100383.9;98145.5;19412.4;82853.6;6181.3;2086.8;1942.2;395.4;0;159.1;69.1;0;0;0;0;0;21065.2;19941.4;4131.2;11530.3;2386.9;707339.3;95879;3333404.4;8401.7;340640.8;1172734.1;69308.2;16087.6;9083.1;1804.3;109.5;300;0;0;0;0;0;0;1.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
geo mean of last 10 years R/alpha;1.035988652;0.971409983;0.911170752;0.956049555;0.931280833;0.899568167;0.906789305;0.39419261;0.99735968;0.928439894;0.854218778;0.634969781;0.449741282;0.031419059;0;0.031306623;0.001633495;0;0;0;0;0;0.712631887;0.907696924;0.846341724;0.903961748;0.956107152;0.873818547;0.806727204;0.938278672;0.949327615;0.91142168;0.923256748;0.896099997;0.867144174;0.003449154;0.020408465;0.029353247;0.547199655;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mean last percentage of autochtone;94.78759331;91.54965086;56.8862776;97.96120527;42.85614217;97.34326941;49.78803779;49.56631346;22.55165203;57.86850772;40.00551403;36.88478421;41.23357791;18.10246127;0;14.31187342;8.297493395;0;0;0;0;0;59.51397328;55.03581323;17.92740685;34.4294399;10.25604445;97.52602845;61.18336627;99.10617285;9.372374959;83.80700393;95.28974877;50.45328866;21.97576451;22.6461579;8.018137524;1.757201184;4.15122081;0;0;0;0;0;0;21.66666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
