nom des bv;Guadalquivir;Guadiana;Sado;Tagus;Mondego;Douro;Lima;Minho;Lerez;Ulla;Mandeo;Landro;Masma;Eo;Navia;Esva;Nalon_Narcea;Sella;Nansa;Pas;Ason;Nervion;Deva_Cares;Oria;Urumea;Bidassoa;Nivelle;Adour;Leyre;Garonne;Seudre;Charente;Sevre_Niortaise;Lay;Auzance;Loire;Vilaine;Blavet;Scorff;Odet;Aulne;Elorn;Leguer;Leff;Trieux;Rance;Couesnon;Selune;Sienne;Douve;Vire;Orne;Dives;Touques;Seine;Bresle;Somme;Authie;Canche;Aa;Yser;Escaut;Meuse;Rhine;Ems;Weser;Elbe;Eider;Vida;Otra;Lagen;Drammens;Glomma
Final states;2;2;2;2;2;1;2;1;2;2;2;2;2;2;0;2;1;0;1;1;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
year of first non nul reproduction;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;4;4;0;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;0;0;0;0
year of last nul reproduction;3;3;3;3;3;3;3;3;3;3;3;3;3;3;100;3;3;100;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;18;3;32;32;23;8;3;98;98;98;98;98;98;98;98;98;100;99;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
mean last recruitment;5019114;5105451.7;496200.1;5425991.8;341080;965989.9;126560.2;297432.6;23297.6;130332;15866.9;8490.1;9841.5;27705.6;0;13011.9;41425.2;0;3827.6;12608.3;14438.2;43160.6;49941.7;36316.4;11016.4;23341.5;5854.4;869599.2;128040.8;24581.2;11268.3;475133.3;1531992.8;102382.9;30091.3;7427.3;39325.5;11140.9;8608.9;431.2;115.5;143.3;87.1;63.6;53.1;9561.2;32.6;35.6;4656.4;7.4;8.2;4;2.8;4;1.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
geo mean of last 10 years R/alpha;0.969036225;1.05000051;0.875416246;0.944178406;0.95602586;0.101289194;0.915182239;0.242962213;0.948360757;0.951318169;1.043619269;0.841986773;0.870795548;0.88311331;0;0.785934372;0.060689598;0;0.395703125;0.72576667;0.841264957;0.683663396;0.941932903;0.916985274;0.974249656;0.810197244;1.036915192;0.874750034;0.862454148;0.005222861;0.916150384;0.899016889;0.844225654;0.933010865;1.024540582;0.0014878;0.02982602;0.083775255;0.871668999;0.027328173;0.003708038;0.015576531;0.005401373;0.005038059;0.003510121;0.009890732;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mean last percentage of autochtone;95.05192873;90.98985263;56.06269528;98.22174663;56.48347374;76.96654324;72.47611455;73.6441613;47.96879897;86.29146555;67.20624034;70.15714309;75.08803414;90.64178928;0;84.98779456;75.77358134;0;38.75410189;61.75559761;57.57707172;77.11228405;76.60080256;72.12186557;38.40870869;58.71320897;22.43697292;99.17262702;81.01226009;38.18875492;22.82607466;93.73497385;99.23345479;74.49357122;43.76660482;23.13167883;43.92483718;43.47767934;53.37522263;10.63765533;6.886909966;8.171072268;14.05943491;8.730790881;5.532208082;82.61684257;8.083333333;14.94585713;68.66754054;11.66666667;12.54248366;10;6.166666667;5.428571429;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
