nom des bv;Guadalquivir;Guadiana;Sado;Tagus;Mondego;Douro;Lima;Minho;Lerez;Ulla;Mandeo;Landro;Masma;Eo;Navia;Esva;Nalon_Narcea;Sella;Nansa;Pas;Ason;Nervion;Deva_Cares;Oria;Urumea;Bidassoa;Nivelle;Adour;Leyre;Garonne;Seudre;Charente;Sevre_Niortaise;Lay;Auzance;Loire;Vilaine;Blavet;Scorff;Odet;Aulne;Elorn;Leguer;Leff;Trieux;Rance;Couesnon;Selune;Sienne;Douve;Vire;Orne;Dives;Touques;Seine;Bresle;Somme;Authie;Canche;Aa;Yser;Escaut;Meuse;Rhine;Ems;Weser;Elbe;Eider;Vida;Otra;Lagen;Drammens;Glomma
Final states;2;2;2;2;2;2;2;1;2;2;2;1;2;2;0;2;2;0;0;0;1;0;2;2;2;2;1;2;2;2;2;2;2;2;2;0;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
year of first non nul reproduction;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;4;4;0;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;5;4;4;4;4;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;0;0;0;0
year of last nul reproduction;3;11;3;3;3;3;3;3;3;3;3;3;3;3;100;3;3;100;100;100;100;100;3;3;3;3;3;3;3;3;3;3;3;3;3;100;99;87;18;100;100;100;100;100;100;8;100;100;3;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
mean last recruitment;4853196.6;4497748.2;585158.0;5804074.0;341384.3;4874089.1;132684.2;190240.7;21916.4;126099.9;13352.3;8119.0;9293.0;27383.8;0.0;12695.9;110645.5;0.0;0.0;0.0;0.9;0.0;46905.7;31228.0;8196.2;24993.3;3958.1;959786.2;131161.7;4157815.3;11087.1;468870.7;1778338.0;110888.0;29062.5;0.0;42936.4;3244.4;3602.6;0.0;0.0;0.0;0.0;0.0;0.0;21829.8;0.0;0.0;9575.7;0.0;0.0;0.0;0.0;189.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
geo mean of last 10 years R/alpha;0.9477774876062455;0.9420973502894288;1.0373840314031038;1.021959195302913;0.9674511597533213;0.9540002567573964;0.9631664596254387;0.05255260649244996;0.8860917613194327;0.9468359535860272;0.8609071345043628;0.8082882165501821;0.8273976807996213;0.8649056588326144;0.0;0.7522245029139887;0.7995232644925445;0.0;0.0;0.0;0.0;0.0;0.8903623971487703;0.8000206684861557;0.7484167510944979;0.8739815248679597;0.48696709214109823;0.9647172900430734;0.8941814524126201;0.8954857387872118;0.9068313174284798;0.907827949765829;0.9766523199858359;0.9887245319521102;0.9938373641135915;0.0;0.0;0.003275142336406463;0.10515504590538409;0.0;0.0;0.0;0.0;0.0;0.0;0.18425427095565644;0.0;0.0;0.14878612473370278;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
mean last percentage of autochtone;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;100.0;100.0;0.0;0.0;0.0;20.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;80.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
