nom des bv;Guadalquivir;Guadiana;Sado;Tagus;Mondego;Douro;Lima;Minho;Lerez;Ulla;Mandeo;Landro;Masma;Eo;Navia;Esva;Nalon_Narcea;Sella;Nansa;Pas;Ason;Nervion;Deva_Cares;Oria;Urumea;Bidassoa;Nivelle;Adour;Leyre;Garonne;Seudre;Charente;Sevre_Niortaise;Lay;Auzance;Loire;Vilaine;Blavet;Scorff;Odet;Aulne;Elorn;Leguer;Leff;Trieux;Rance;Couesnon;Selune;Sienne;Douve;Vire;Orne;Dives;Touques;Seine;Bresle;Somme;Authie;Canche;Aa;Yser;Escaut;Meuse;Rhine;Ems;Weser;Elbe;Eider;Vida;Otra;Lagen;Drammens;Glomma
Final states;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;0;1;1;2;1;2;2;2;2;2;2;2;1;2;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
year of first non nul reproduction;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;4;4;0;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;0;0;0;0
year of last nul reproduction;3;3;3;3;3;3;3;3;3;3;3;3;3;3;100;3;3;100;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;8;3;23;38;43;52;97;97;97;97;99;98;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
mean last recruitment;5333191.4;4743638;613312.8;5848964.1;337909.6;4470253.6;132490.3;507147.5;23761.3;131807.8;14872.4;9405.7;9284.3;20141.1;0;12623;838.4;0;2877;11000.8;13709.1;26273.7;45710.6;39238;10348.7;26080.2;5400.1;821175.1;142784.6;19446.4;11788.5;196053.7;309290.2;94933.6;24751.8;3316.8;1809.4;1106.3;2913.6;51.8;27;24.4;17.7;8.9;6.1;3.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
geo mean of last 10 years R/alpha;1.036456532;0.99177465;1.071708644;1.026618259;0.937321472;0.884728159;0.965107258;0.837643031;0.944359243;0.973982594;0.959831474;0.944553638;0.829036431;0.603238596;0;0.749195859;0.006180112;0;0.323718145;0.628960756;0.797222616;0.445837136;0.856955011;0.999455459;0.928829893;0.912940597;0.97798232;0.833094033;0.974863901;0.003216549;0.934619336;0.187648086;0.013494167;0.850704542;0.857323894;4.25E-04;0.00305836;0.006595513;0.142027591;0.002469877;5.83E-04;0.001715773;7.06E-04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mean last percentage of autochtone;82.26411175;74.63924994;27.5076037;91.28308498;21.10599391;93.49492387;18.06227033;47.39110787;5.279129519;26.53653935;17.63629499;26.52042806;36.33971848;55.92806575;0;58.79725258;7.538885114;0;14.06472421;31.40156152;28.76971496;39.85772084;49.79122808;41.30555093;15.88513998;32.12726913;8.182375178;97.90037714;71.26089161;25.87021409;22.53272797;71.30407881;54.4759825;75.75108741;51.63979384;12.26819603;9.405329108;10.44651619;25.84603885;2.707975409;3.163302091;0.161290323;2.549019608;2.857142857;4.714285714;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
