nom des bv;Guadalquivir;Guadiana;Sado;Tagus;Mondego;Douro;Lima;Minho;Lerez;Ulla;Mandeo;Landro;Masma;Eo;Navia;Esva;Nalon_Narcea;Sella;Nansa;Pas;Ason;Nervion;Deva_Cares;Oria;Urumea;Bidassoa;Nivelle;Adour;Leyre;Garonne;Seudre;Charente;Sevre_Niortaise;Lay;Auzance;Loire;Vilaine;Blavet;Scorff;Odet;Aulne;Elorn;Leguer;Leff;Trieux;Rance;Couesnon;Selune;Sienne;Douve;Vire;Orne;Dives;Touques;Seine;Bresle;Somme;Authie;Canche;Aa;Yser;Escaut;Meuse;Rhine;Ems;Weser;Elbe;Eider;Vida;Otra;Lagen;Drammens;Glomma
Final states;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;2;1;0;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
year of first non nul reproduction;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;4;4;0;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;0;0;0;0
year of last nul reproduction;3;3;3;3;3;3;3;3;3;3;3;3;3;3;100;3;3;100;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;18;13;32;28;42;48;77;62;77;98;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
mean last recruitment;5127616.6;4318327;520350.3;6270333.2;327140;4634542.3;122170.1;449192.1;23383.2;115321.5;15995.3;8978.6;10933.2;22102.8;0;14432.9;2571.9;0;3985.5;11737.9;16176.8;33014.6;45308.5;32066.4;10647.5;24058.6;5154.5;881878;135668.7;4199478.8;12614.9;499181;1395921.5;120313.9;26908.3;57125.4;87610.2;35147;8711.7;2082.6;568.8;799.7;410.3;228.6;178.8;108.3;26.1;24.8;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
geo mean of last 10 years R/alpha;1.005389241;0.911988466;0.92366198;1.096347951;0.925462465;0.903783444;0.888292098;0.751350626;0.930614302;0.866803137;1.043692472;0.889512057;0.968903098;0.693476717;0;0.873699394;0.018723078;0;0.448926275;0.674290161;0.923481141;0.552632231;0.867791045;0.820010063;0.972658473;0.835332932;0.921889938;0.877023304;0.922436132;0.917753183;1.02156455;0.961602576;0.773926969;1.095534391;0.917205689;0.011149579;0.229981208;0.523970306;0.892627233;0.144628722;0.019487546;0.106323021;0.032737287;0.02543094;0.014389587;0.00243508;7.59E-04;8.59E-04;0.001084362;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mean last percentage of autochtone;83.16182757;73.3965266;25.63145126;92.6268645;18.22937289;92.52505186;18.38034199;46.77546833;5.672830672;25.22876847;18.59406444;25.94591128;40.30933652;61.55382035;0;59.63101396;21.02115044;0;16.3804947;28.63072458;28.97583638;40.44642812;38.97682754;30.31229464;10.36621175;19.59783615;3.870208125;89.84542036;29.29471936;96.72599026;3.034575923;58.70942562;82.90563918;25.78531298;8.102866317;24.08561315;43.61891661;44.53361981;16.55805517;9.132254975;4.101871021;7.512196095;8.189993285;10.46838245;7.837250036;11.6236119;5.595238095;3.78968254;7.595238095;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
