nom des bv;Guadalquivir;Guadiana;Sado;Tagus;Mondego;Douro;Lima;Minho;Lerez;Ulla;Mandeo;Landro;Masma;Eo;Navia;Esva;Nalon_Narcea;Sella;Nansa;Pas;Ason;Nervion;Deva_Cares;Oria;Urumea;Bidassoa;Nivelle;Adour;Leyre;Garonne;Seudre;Charente;Sevre_Niortaise;Lay;Auzance;Loire;Vilaine;Blavet;Scorff;Odet;Aulne;Elorn;Leguer;Leff;Trieux;Rance;Couesnon;Selune;Sienne;Douve;Vire;Orne;Dives;Touques;Seine;Bresle;Somme;Authie;Canche;Aa;Yser;Escaut;Meuse;Rhine;Ems;Weser;Elbe;Eider;Vida;Otra;Lagen;Drammens;Glomma
Final states;2;2;2;2;2;1;2;1;2;2;1;1;1;1;0;1;1;0;0;0;0;0;2;2;2;2;2;2;2;1;2;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
year of first non nul reproduction;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;4;4;0;0;0;0;0;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
year of last nul reproduction;3;3;3;3;3;3;3;3;3;3;3;3;3;3;100;3;3;100;100;100;100;100;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;93;92;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
mean last recruitment;5429763.4;4389369.6;520534.7;5186129;226281.2;38560.9;110967.6;2720.1;19042.5;73250.6;4803.4;150.2;83.8;40.4;0;24.2;20.8;0;0;0;0;0;24911.8;15447.8;4065.4;10658.6;2500.1;845267;102422.7;3709.9;8281.6;153263.3;216462.9;45702.6;10013.3;607.5;102;8.4;33.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
geo mean of last 10 years R/alpha;1.073322481;0.935335426;0.962846352;0.964032774;0.864318791;0.009684238;1.004134036;0.010658827;0.987419365;0.835563564;0.64472802;0.041950174;0.01886657;0.003390189;0;0.004664688;4.97E-04;0;0;0;0;0;0.853331228;0.70182332;0.826549079;0.835676072;1.005470045;1.031850153;0.88341529;8.60E-04;0.911262637;0.097282072;0.015396032;0.436354685;0.394300825;9.23E-05;4.76E-04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mean last percentage of autochtone;95.25843686;90.77343751;56.92658208;98.32406655;48.44428058;28.46171133;76.18905377;8.920516588;63.3463421;89.84723519;64.70878854;8.580839771;8.579890134;6.303921551;0;8.132864402;5.662794339;0;0;0;0;0;70.95796217;61.2843501;27.17470758;45.14032864;15.47626882;99.66660139;88.05954392;25.81443578;52.08934582;84.89899585;76.17512288;85.85285128;64.73205078;9.314532484;1.914134571;0.194106968;1.76814003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
