nom des bv;Guadalquivir;Guadiana;Sado;Tagus;Mondego;Douro;Lima;Minho;Lerez;Ulla;Mandeo;Landro;Masma;Eo;Navia;Esva;Nalon_Narcea;Sella;Nansa;Pas;Ason;Nervion;Deva_Cares;Oria;Urumea;Bidassoa;Nivelle;Adour;Leyre;Garonne;Seudre;Charente;Sevre_Niortaise;Lay;Auzance;Loire;Vilaine;Blavet;Scorff;Odet;Aulne;Elorn;Leguer;Leff;Trieux;Rance;Couesnon;Selune;Sienne;Douve;Vire;Orne;Dives;Touques;Seine;Bresle;Somme;Authie;Canche;Aa;Yser;Escaut;Meuse;Rhine;Ems;Weser;Elbe;Eider;Vida;Otra;Lagen;Drammens;Glomma
Final states;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
year of first non nul reproduction;4;4;4;4;4;4;4;4;4;4;4;4;4;4;101;4;4;101;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;0;0;0;0
year of last nul reproduction;3;3;3;3;3;3;3;3;3;3;3;3;3;3;186;3;3;191;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;112;117;133;141;141;146;189;196;196;196;199;199;200;199;200;200;200;200;200;200;200;200;200;200
mean last recruitment;4811825.9;4869933.5;616419.9;5813465.4;396229.3;5598858.4;154068.9;793383.4;31175.4;162481.8;19073.7;12825.7;16675;43510.3;9764;22775;163834.8;20689.7;15507.2;27976.4;24351.4;82229.8;61424.1;50615.8;12750.8;34593.8;6617.8;1009706.2;150114.8;4703159.7;15387.4;497038.6;2300353.9;126466.7;36037;5745109.9;418133.4;89556.3;14242.8;22181.4;48973.2;12863.7;16246.2;10575;17165.8;46619.4;31202.8;28819.2;22504;1388.7;1423.3;560.2;456.6;363.9;235.8;41.5;33.8;19.3;12.9;6.9;0;0;0;0;0;0;0;0;0;0;0;0;0
geo mean of last 10 years R/alpha;0.932176443;1.011161393;1.041293708;0.939909177;0.946695824;0.921551877;0.951010799;0.970882974;1.055134861;0.945783356;0.921141166;0.900643813;1.006304761;0.965163107;0.121513445;0.950156378;0.812367965;0;0.944182533;0.975138051;0.920619189;0.90301712;0.897197547;1.006138559;0.957943265;1.014886723;1.012478226;0.879700429;0.871424686;0.877520104;1.058354075;0.812143099;1.043143076;0.949391995;1.000944393;0.912049176;0.856834979;0.957915287;1.047707783;0.912409193;0.924868418;0.967580123;0.892652944;0.832370588;0.943529349;0.822726778;0.614395054;0.669736853;0.82807866;0.017914758;0.026430736;0.008941739;0.013420004;0.005293654;6.48E-05;0.001101669;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mean last percentage of autochtone;79.03953646;77.35305859;26.4816564;91.72026419;22.09136207;92.42150596;19.08563128;56.45347904;6.135427192;28.1800362;16.61874869;24.93554233;34.18190817;62.46575996;13.30989953;49.13119967;91.68721593;27.45243402;27.4693277;36.41164346;30.49242888;51.94397938;39.92820732;33.58483041;7.553147527;16.7769013;3.543207966;89.99102336;26.75200708;94.46072805;2.309945843;46.69255792;80.27287571;17.1250853;5.195261202;95.11999739;50.33694073;21.56707799;4.098800299;8.811014692;24.00302938;8.839929458;26.05767837;24.84976789;34.94734456;78.75632197;66.14150476;66.62293876;71.66397941;22.41699869;23.00772096;21.85782814;21.72734618;19.44002365;26.732647;8.484848485;30.62878788;9.261904762;18.66666667;20;0;0;0;0;0;0;0;0;0;0;0;0;0
