nom des bv;Guadalquivir;Guadiana;Sado;Tagus;Mondego;Douro;Lima;Minho;Lerez;Ulla;Mandeo;Landro;Masma;Eo;Navia;Esva;Nalon_Narcea;Sella;Nansa;Pas;Ason;Nervion;Deva_Cares;Oria;Urumea;Bidassoa;Nivelle;Adour;Leyre;Garonne;Seudre;Charente;Sevre_Niortaise;Lay;Auzance;Loire;Vilaine;Blavet;Scorff;Odet;Aulne;Elorn;Leguer;Leff;Trieux;Rance;Couesnon;Selune;Sienne;Douve;Vire;Orne;Dives;Touques;Seine;Bresle;Somme;Authie;Canche;Aa;Yser;Escaut;Meuse;Rhine;Ems;Weser;Elbe;Eider;Vida;Otra;Lagen;Drammens;Glomma
Final states;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
year of first non nul reproduction;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;4;4;0;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;0;0;0;0
year of last nul reproduction;3;3;3;3;3;3;3;3;3;3;3;3;3;3;100;3;3;100;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;83;63;97;87;98;98;99;100;99;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
mean last recruitment;5344502.8;4394760.6;530055.2;5482357.3;302557.9;4437123.3;135155.8;462664.4;20907.6;141126.9;15241.3;9106.5;11278.9;23810.2;0;15296.7;55806.8;0;7909.8;15294.9;15317.5;52274.3;49572.6;36911.1;10394.5;26962.9;5031.7;849441.1;146493.6;3753241.8;13261.3;543191.2;1518851.5;102845.1;29244.5;182584.4;330601.5;59447;8646.3;11774.6;9925.7;6300.2;8716.9;6456.5;5202.5;5113.6;567.6;582;4393.5;65.3;76.9;29.2;32;21.7;13.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
geo mean of last 10 years R/alpha;1.048385922;0.929504841;0.930494478;0.957462598;0.845264096;0.868523111;0.966634958;0.775503319;0.845283793;1.057992462;0.990957588;0.912639385;0.985012692;0.746593124;0;0.924920423;0.320112104;0;0.897220296;0.866062978;0.886283191;0.877373623;0.936037102;0.948370301;0.938295627;0.944131757;0.891315425;0.861431399;1.002966084;0.819181108;1.093888389;1.010310206;0.836905622;0.923239896;0.997101821;0.03606462;0.86750939;0.87588136;0.885637848;0.851201873;0.346209576;0.863602883;0.713554464;0.74552238;0.421319268;0.041135129;0.016278066;0.017406162;0.082070077;9.35E-04;0.001165357;0;0.001018698;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mean last percentage of autochtone;83.88190795;72.5966796;26.16348273;92.22939821;22.57597932;91.29709051;21.31179209;49.1048483;6.267316086;33.58024685;20.65788101;24.98359794;33.78665079;61.52251039;0;56.75906181;82.39249348;0;25.78963553;31.08385522;24.31733534;48.43884224;39.27782953;27.79596448;8.972983292;18.67279705;3.858989368;90.61995018;30.7246728;96.01171342;2.870509214;60.25271216;85.08173745;21.88218943;8.04434011;45.56306689;71.30698023;48.08791318;11.79905298;22.62759767;27.95573258;22.19923055;45.56129861;48.00272308;42.51946897;44.57692226;17.38739956;17.21259305;61.81403511;20.753367;17.74208545;8.434044882;18.24242424;19.4047619;15.58730159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
