nom des bv;Guadalquivir;Guadiana;Sado;Tagus;Mondego;Douro;Lima;Minho;Lerez;Ulla;Mandeo;Landro;Masma;Eo;Navia;Esva;Nalon_Narcea;Sella;Nansa;Pas;Ason;Nervion;Deva_Cares;Oria;Urumea;Bidassoa;Nivelle;Adour;Leyre;Garonne;Seudre;Charente;Sevre_Niortaise;Lay;Auzance;Loire;Vilaine;Blavet;Scorff;Odet;Aulne;Elorn;Leguer;Leff;Trieux;Rance;Couesnon;Selune;Sienne;Douve;Vire;Orne;Dives;Touques;Seine;Bresle;Somme;Authie;Canche;Aa;Yser;Escaut;Meuse;Rhine;Ems;Weser;Elbe;Eider;Vida;Otra;Lagen;Drammens;Glomma
Final states;1;1;1;1;2;2;2;2;2;2;2;1;2;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0
year of first non nul reproduction;4;4;4;4;4;4;4;4;4;4;4;4;4;4;101;4;4;101;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;0;0;0;0
year of last nul reproduction;288;275;293;300;3;3;3;3;3;3;3;3;3;3;186;3;3;191;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;8;3;3;3;3;3;3;8;8;108;118;93;113;113;113;157;182;196;189;197;233;241;246;251;268;273;285;282;290;300;300;300;300
mean last recruitment;2737208.2;2052494.4;352732.8;1545757.7;590226.2;7946284.3;203878.0;1093165.5;37260.3;203764.6;28739.0;18369.9;18854.8;52820.6;139998.6;32623.7;236930.9;86048.8;32594.2;47873.4;38955.1;115014.2;93710.4;54915.1;19921.8;52943.0;9146.0;1319454.9;205753.8;6589895.8;20012.6;780911.6;3008667.4;169977.6;43604.3;8178256.5;649394.5;125521.0;17977.6;36059.4;69696.2;19500.1;29348.2;19739.5;29729.8;76577.3;64167.5;56206.1;38036.1;105742.2;77325.4;77191.5;41187.1;90328.3;523354.6;44850.2;328069.3;77429.2;79732.9;77506.7;85474.9;205347.9;59502.3;27652.9;1140.2;333.8;128.6;121.5;50.7;0.0;0.0;0.0;0.0
geo mean of last 10 years R/alpha;0.9213968913382046;0.840006933780364;0.0;0.0;1.0629623655708598;0.9934331593840844;1.0236109502655597;0.9274303669886055;1.0240433881731237;0.9264467133436213;0.98789046347633;0.9741729803793725;0.9159898239476201;0.9136400516029901;0.8427787637148018;0.9699290738172954;0.8576302390290237;0.9949638350060063;1.0495117415891824;0.9879325203217862;0.9690616060006784;0.8317360917589792;1.0235840655013362;0.8102088350123934;0.9997003145838902;0.9854085428860752;0.9121008483506203;0.9580315931110813;0.9466046448439402;0.9762205454954176;1.059915113828719;0.9820468739626375;1.057446501516014;0.9923367208718245;0.9495176298265419;0.9633418006377062;0.9821916533689832;1.0271549898976318;1.0101925866848067;1.0088717497389526;0.9243571065781913;1.0079508108951616;1.0282003026412194;0.9468476114575699;1.0347714926415656;0.932126209135549;0.8450808050677517;0.8547923580884179;0.9544584392865985;0.9567005892534327;1.0145904325628625;0.9088888619439707;0.9648779913773653;0.9944768877526027;0.05836265151981882;0.8496111833037057;0.893922904586896;0.8988309814894326;0.9606239356883618;1.0155797118302632;0.9748989703670892;0.10282187110701439;0.021556669657671463;0.0020134214102690436;7.927229091850709E-4;8.348660023055274E-5;1.2213419933401467E-5;4.5155577754956534E-4;4.927622219881343E-4;0.0;0.0;0.0;0.0
mean last percentage of autochtone;79.0040093258632;75.04046620720626;34.152397845923744;23.73180499922329;39.85576515287193;96.14082420545499;20.91320447764464;61.15937589634725;5.757218550836795;29.765438735192582;19.81489584184701;24.356816836028734;30.005892234619143;57.11938307973969;74.77973403280001;47.846049545038774;90.03670618742902;61.379149802213114;34.25976954824533;42.254077811761555;32.76204398854648;72.88174231484237;41.50532959983195;31.902978000809384;10.84412364420103;22.243887390679753;4.180267786715227;87.6852290655658;25.73423209759635;94.41381863149766;2.1294048514282906;47.84632245372756;76.98373743876296;15.089710041906494;4.8678641849531346;95.95228090590422;48.68000247010328;20.994092637570215;4.275505994538984;10.335792431764736;24.115863030627317;9.453603666190187;28.435399487902437;26.90348860932888;37.299597449938396;75.31072226712561;71.51244771433676;68.55110377417019;60.07171198819303;74.36746882669587;69.00693058493741;68.02505779002396;46.78830219555371;62.51583879670871;70.5182562868468;47.2729887715286;89.34264000377311;59.23757570898994;61.052682577247786;60.48751887045687;68.89300873854731;73.88230925966234;55.4121158763884;47.43171023332804;34.564557684117815;36.76108170335573;31.37932840106753;24.046474358974358;38.90151515151515;0.0;0.0;0.0;0.0
