nom des bv;Guadalquivir;Guadiana;Sado;Tagus;Mondego;Douro;Lima;Minho;Lerez;Ulla;Mandeo;Landro;Masma;Eo;Navia;Esva;Nalon_Narcea;Sella;Nansa;Pas;Ason;Nervion;Deva_Cares;Oria;Urumea;Bidassoa;Nivelle;Adour;Leyre;Garonne;Seudre;Charente;Sevre_Niortaise;Lay;Auzance;Loire;Vilaine;Blavet;Scorff;Odet;Aulne;Elorn;Leguer;Leff;Trieux;Rance;Couesnon;Selune;Sienne;Douve;Vire;Orne;Dives;Touques;Seine;Bresle;Somme;Authie;Canche;Aa;Yser;Escaut;Meuse;Rhine;Ems;Weser;Elbe;Eider;Vida;Otra;Lagen;Drammens;Glomma
Final states;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;0;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
year of first non nul reproduction;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;4;4;0;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;0;0;0;0
year of last nul reproduction;3;3;3;3;3;3;3;3;3;3;3;3;3;3;100;3;3;100;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;28;3;3;3;8;93;98;98;98;98;98;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
mean last recruitment;5029054.3;4637966.9;592020.2;4852796.7;325425.8;4297206.9;140464.4;595635;25674.3;113484.5;12789;9640.5;10242.4;28079.7;0;14067.5;103107;0;5639.6;13769;14182.5;38968.2;53598.1;33932.3;10852.6;28832.1;5048.9;973066.5;125229.1;4249721.7;12366.9;442393.5;1487474.1;105241.7;32518.8;43599.4;253177.6;54463.8;9957.4;3880.2;794.3;1707.6;707.9;413.7;414.2;20284;150.6;157.8;10621.3;37.2;38;12.9;20.9;12.5;7.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
geo mean of last 10 years R/alpha;0.975834532;0.986661918;1.040062614;0.850295574;0.912582212;0.843846262;1.019547918;0.992186227;1.023325447;0.859709397;0.834021197;0.93889916;0.901976395;0.878635245;0;0.848736253;0.750591557;0;0.629385898;0.781589471;0.83241195;0.66511259;0.999607605;0.858537486;0.987233224;1.011332328;0.906182909;0.986932499;0.856178598;0.909844928;1.010321212;0.835525519;0.816682309;0.959363156;1.120763725;0.00865128;0.671479363;0.812456181;1.018900741;0.26627647;0.026763426;0.2126691;0.053095502;0.043882155;0.030513461;0.152500949;0.00332519;0.003646604;0.183109071;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mean last percentage of autochtone;94.69627627;91.51975362;61.76282077;97.52323133;47.47990304;97.99794261;49.59009427;80.83961041;21.4431949;56.69053794;41.02410341;52.53205929;63.42896907;84.40016687;0;77.80506839;97.78951022;0;45.97919257;56.90345299;52.62852166;71.95716479;68.47569292;60.54768217;27.33820349;46.79629054;13.27398812;97.1465382;58.53299153;99.185258;9.754981647;80.43369382;94.94428209;50.90260985;25.6270878;45.71730928;87.27902519;78.28047826;38.12709001;29.56446148;13.77895227;31.01120645;24.20729911;23.98077694;23.72672006;93.05454162;19.70067097;20.45770856;95.65761503;24.53571429;14.37982456;20.41666667;13.8030303;24.9047619;24.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
