nom des bv;Guadalquivir;Guadiana;Sado;Tagus;Mondego;Douro;Lima;Minho;Lerez;Ulla;Mandeo;Landro;Masma;Eo;Navia;Esva;Nalon_Narcea;Sella;Nansa;Pas;Ason;Nervion;Deva_Cares;Oria;Urumea;Bidassoa;Nivelle;Adour;Leyre;Garonne;Seudre;Charente;Sevre_Niortaise;Lay;Auzance;Loire;Vilaine;Blavet;Scorff;Odet;Aulne;Elorn;Leguer;Leff;Trieux;Rance;Couesnon;Selune;Sienne;Douve;Vire;Orne;Dives;Touques;Seine;Bresle;Somme;Authie;Canche;Aa;Yser;Escaut;Meuse;Rhine;Ems;Weser;Elbe;Eider;Vida;Otra;Lagen;Drammens;Glomma
Final states;2;2;2;2;2;1;2;1;2;2;2;1;1;1;0;1;1;0;0;0;0;0;1;1;2;1;2;1;1;1;2;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
year of first non nul reproduction;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;4;4;0;0;0;0;0;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
year of last nul reproduction;3;3;3;3;3;3;3;3;3;3;3;3;3;3;100;3;3;100;100;100;100;100;3;3;3;3;3;3;3;3;3;3;3;3;3;8;42;98;99;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
mean last recruitment;5159974.7;4233836.5;489823.7;5490206.7;262567.7;126810.4;99990.7;7697.2;16229.5;73095.4;5246.1;765.4;338.2;116.3;0;73;41.2;0;0;0;0;0;21409.7;17980.2;4571.1;10070.1;2191.7;688101;102220.5;2637.1;8055.4;1954.6;799.1;7426.8;2647.2;84.8;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
geo mean of last 10 years R/alpha;1.015539604;0.907751542;0.897068712;0.999901401;1.018001049;0.033938531;0.899469556;0.031089291;0.839636898;0.838501398;0.714382631;0.23200349;0.076708299;0.009533494;0;0.014357168;9.58E-04;0;0;0;0;0;0.708044028;0.816140165;0.934207338;0.791310728;0.884409945;0.831366912;0.873059339;7.18E-04;0.913818054;0.004838385;5.96E-04;0.029958637;0.054896939;2.77E-05;1.06E-04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mean last percentage of autochtone;83.4151923;72.39967804;27.41689796;93.73061294;19.47567541;28.25467073;43.74135009;6.884004016;26.15651635;67.25409351;33.20479548;13.37611497;10.51020442;4.702022731;0;2.994069406;3.076472433;0;0;0;0;0;38.08158347;31.02952595;10.40276981;20.97097562;6.067981773;99.03164102;75.11137436;12.8964013;41.79822632;14.9221376;10.93312914;40.15811213;29.28654673;4.84028696;1.510281385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
