nom des bv;Guadalquivir;Guadiana;Sado;Tagus;Mondego;Douro;Lima;Minho;Lerez;Ulla;Mandeo;Landro;Masma;Eo;Navia;Esva;Nalon_Narcea;Sella;Nansa;Pas;Ason;Nervion;Deva_Cares;Oria;Urumea;Bidassoa;Nivelle;Adour;Leyre;Garonne;Seudre;Charente;Sevre_Niortaise;Lay;Auzance;Loire;Vilaine;Blavet;Scorff;Odet;Aulne;Elorn;Leguer;Leff;Trieux;Rance;Couesnon;Selune;Sienne;Douve;Vire;Orne;Dives;Touques;Seine;Bresle;Somme;Authie;Canche;Aa;Yser;Escaut;Meuse;Rhine;Ems;Weser;Elbe;Eider;Vida;Otra;Lagen;Drammens;Glomma
Final states;2;2;2;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
year of first non nul reproduction;4;4;4;4;101;101;4;0;4;101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
year of last nul reproduction;7;7;3;3;100;100;3;101;3;100;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
mean last recruitment;4849269.9;4217794.6;438446.3;4726914.9;16131.3;2355.6;9402.0;0.0;3230.1;29.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
geo mean of last 10 years R/alpha;0.9568004700267141;0.9219674241895779;0.8650258483310929;0.9826254215707166;0.0;0.0;0.11469597558109895;0.0;0.6175407029167876;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
mean last percentage of autochtone;89.23568931759888;83.05325429044623;37.49498464547523;96.35983007234725;0.0;0.0;36.08888323561433;0.0;16.31613363115394;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
