nom des bv;Guadalquivir;Guadiana;Sado;Tagus;Mondego;Douro;Lima;Minho;Lerez;Ulla;Mandeo;Landro;Masma;Eo;Navia;Esva;Nalon_Narcea;Sella;Nansa;Pas;Ason;Nervion;Deva_Cares;Oria;Urumea;Bidassoa;Nivelle;Adour;Leyre;Garonne;Seudre;Charente;Sevre_Niortaise;Lay;Auzance;Loire;Vilaine;Blavet;Scorff;Odet;Aulne;Elorn;Leguer;Leff;Trieux;Rance;Couesnon;Selune;Sienne;Douve;Vire;Orne;Dives;Touques;Seine;Bresle;Somme;Authie;Canche;Aa;Yser;Escaut;Meuse;Rhine;Ems;Weser;Elbe;Eider;Vida;Otra;Lagen;Drammens;Glomma
Final states;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;0;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
year of first non nul reproduction;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;4;4;0;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;0;0;0;0
year of last nul reproduction;3;3;3;3;3;3;3;3;3;3;3;3;3;3;100;3;3;100;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;8;13;3;3;3;3;23;43;63;87;97;98;98;99;98;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
mean last recruitment;4492948.5;4530801.5;585520.7;5529574;328392.6;4080359.7;121143.3;584217.8;24090.2;130609.7;15363.7;8805.5;10550.3;23961.5;0;14354.9;2238.3;0;6849.8;14437.6;14227.1;50297.1;50742.8;33087.6;10364.4;27529.9;5459.5;831341;124892.6;84673.5;12761.3;468662.7;1039168.8;110476.4;25740.3;13926.1;68095.4;27059.2;8256.9;4264.5;518.1;1721.1;602.2;238.1;221.8;75.7;20.9;18.4;17.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
geo mean of last 10 years R/alpha;0.849034346;0.959471316;1.015342222;0.959049249;0.928117192;0.784431099;0.877875667;0.97693704;0.969099915;0.981554175;1.005748994;0.870410442;0.936860834;0.759875459;0;0.867342669;0.016110064;0;0.778752522;0.832999251;0.827872362;0.839587261;0.952663027;0.841908622;0.937789897;0.963049457;0.967135229;0.820248496;0.852979275;0.013656586;1.051726336;0.910411982;0.252323455;0.998631581;0.882380081;0.002454767;0.063335878;0.19411547;0.853481525;0.121576009;0.010960461;0.087875767;0.021763635;0.014557667;0.007888006;0.001094596;4.19E-04;3.56E-04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mean last percentage of autochtone;82.99704832;73.46921636;28.23265285;92.73947276;21.53869398;90.66935439;19.32653205;54.9004206;6.535333727;29.38928428;19.05803988;25.61080322;39.11275983;64.84359264;0;59.50631156;16.99758475;0;27.06358821;34.83687963;27.99380578;50.31131751;47.02906933;36.50970047;14.43301555;29.49670078;7.46948509;97.23367641;56.20377097;37.41175151;11.29013015;86.08565387;83.93734312;54.19657456;25.26759995;16.44863679;38.10531755;41.11533315;32.13810669;16.60743454;6.982864446;16.717452;14.23815477;11.76482757;8.816894738;12.50986069;7.747557804;0.37037037;6.388888889;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
