nom des bv;Guadalquivir;Guadiana;Sado;Tagus;Mondego;Douro;Lima;Minho;Lerez;Ulla;Mandeo;Landro;Masma;Eo;Navia;Esva;Nalon_Narcea;Sella;Nansa;Pas;Ason;Nervion;Deva_Cares;Oria;Urumea;Bidassoa;Nivelle;Adour;Leyre;Garonne;Seudre;Charente;Sevre_Niortaise;Lay;Auzance;Loire;Vilaine;Blavet;Scorff;Odet;Aulne;Elorn;Leguer;Leff;Trieux;Rance;Couesnon;Selune;Sienne;Douve;Vire;Orne;Dives;Touques;Seine;Bresle;Somme;Authie;Canche;Aa;Yser;Escaut;Meuse;Rhine;Ems;Weser;Elbe;Eider;Vida;Otra;Lagen;Drammens;Glomma
Final states;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
year of first non nul reproduction;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;4;4;0;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;0;0;0;0
year of last nul reproduction;3;3;3;3;3;3;3;3;3;3;3;3;3;3;100;3;3;100;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;67;58;73;94;98;98;98;100;100;99;100;100;100;100;100;100;100;100;100;100;100;100;100;100
mean last recruitment;4877774.6;4484284.8;539104.6;5394761.7;367405.8;4368460.8;140957.3;537579.0;22498.0;123961.0;15739.7;8523.0;10646.9;25276.0;0.0;14317.2;59058.4;0.0;7746.9;15883.4;15230.4;48292.8;48547.6;32693.8;9395.2;27557.2;5018.1;888977.4;148050.7;4208727.5;12647.7;484085.6;1577088.0;110238.7;28296.1;215913.5;306430.6;63288.2;8039.7;12714.1;10442.1;6556.7;8343.5;5707.3;5295.9;5182.5;549.2;485.6;4583.2;78.3;79.0;30.8;25.6;17.0;11.0;4.3;0.6;0.5;0.6;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
geo mean of last 10 years R/alpha;0.9555797428001206;0.9354878733564298;0.935064304634471;0.9345073545370857;1.0300580752992108;0.866527156667764;1.0173701498763457;0.8973176698677288;0.9064982378864946;0.936973179491985;1.0256070224108378;0.843690100908987;0.9321939903815343;0.800348556865401;0.0;0.8565298907835686;0.323988805349987;0.0;0.8554015813106284;0.9200050470164833;0.8796501422676993;0.8141705347291954;0.9190448248513124;0.8308496313696916;0.8521381687700738;0.9687691017557458;0.9001120195864207;0.9020763431245564;0.9823260943901685;0.9198566832131022;1.0272059783681224;0.9339058156494014;0.872029134701929;0.9931982844535088;0.9578665376013887;0.041754890793094836;0.8202938286232588;0.9200617075252189;0.8221017580651979;0.9249220836799058;0.3592456003598155;0.9030790368477895;0.6867037962956435;0.6601787299740365;0.4301377751149667;0.06412196378215854;0.015368276320238976;0.015117452017016609;0.07085735838179485;8.459481766189198E-4;0.0010869606285240105;3.4460099561425686E-4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
mean last percentage of autochtone;84.1644326640213;71.82013315947329;29.274817149507527;92.35913774904523;22.083178694772478;91.59207760600523;20.44643455211567;53.09404232402674;5.965047802263374;29.615949836592875;16.722635270632942;22.845806379220583;36.77029297286581;61.436466421936494;0.0;53.40212709198197;79.54098453547657;0.0;25.026037975788896;31.98689823111875;27.650059939419435;48.09064792447469;38.403748819510945;31.274079545282177;9.326238815826239;20.68914716361158;3.882361937306406;90.53803573242088;34.421667995837254;96.11401108182662;3.2368000071514005;56.1416601916163;84.63577555954906;24.518792584991594;8.061175598337817;55.991301169286245;69.55812756361048;47.11789406069393;10.988595880727994;24.14189395193177;29.81218788190713;25.49162160238216;46.43431150049867;45.810339355229985;40.88331636778334;51.754129830739714;18.471168969626632;18.758749634228927;56.17074100013034;12.68889867194952;22.749694749694747;34.615199615199614;17.69934640522876;6.625;17.727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
