nom des bv;Guadalquivir;Guadiana;Sado;Tagus;Mondego;Douro;Lima;Minho;Lerez;Ulla;Mandeo;Landro;Masma;Eo;Navia;Esva;Nalon_Narcea;Sella;Nansa;Pas;Ason;Nervion;Deva_Cares;Oria;Urumea;Bidassoa;Nivelle;Adour;Leyre;Garonne;Seudre;Charente;Sevre_Niortaise;Lay;Auzance;Loire;Vilaine;Blavet;Scorff;Odet;Aulne;Elorn;Leguer;Leff;Trieux;Rance;Couesnon;Selune;Sienne;Douve;Vire;Orne;Dives;Touques;Seine;Bresle;Somme;Authie;Canche;Aa;Yser;Escaut;Meuse;Rhine;Ems;Weser;Elbe;Eider;Vida;Otra;Lagen;Drammens;Glomma
Final states;2;2;2;2;2;2;2;1;2;2;2;2;2;1;0;1;1;0;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
year of first non nul reproduction;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;4;4;0;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;0;0;0;0
year of last nul reproduction;3;3;3;3;3;3;3;3;3;3;3;3;3;3;100;3;3;100;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;18;8;27;32;37;32;47;41;97;98;99;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
mean last recruitment;4645670.2;4523627.4;577242.3;5399645.4;347616.6;4553927.8;128447.3;481619.5;23258.8;125233.1;14365.7;8163.2;8149.1;17226.5;0;5693.5;633;0;439.4;2340.2;11320.9;6017.9;51729.4;31405.1;10056;27279.4;5405.6;870400.6;126672.3;4042145.5;11430;444742.9;1618629.2;113861.6;25995.3;19450.7;10931.4;3779.4;9124.6;245.5;88.9;61.1;46.5;28.3;26.4;7.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
geo mean of last 10 years R/alpha;0.905572898;0.944169844;1.005671356;0.929203459;0.976414459;0.89967389;0.92251761;0.799469724;0.934686071;0.942210188;0.937688985;0.816082304;0.729503983;0.50094787;0;0.287177032;0.004627187;0;0.049654967;0.133618676;0.665090582;0.09608923;0.982114339;0.798192903;0.919986522;0.955930696;0.964882935;0.885458601;0.859947926;0.88146202;0.924709596;0.853989265;0.888049531;1.024989205;0.888513407;0.003899649;0.028700636;0.05602058;0.921612914;0.017057577;0.003075605;0.008187231;0.003659377;0.00321122;0.002033088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mean last percentage of autochtone;95.29181771;90.59178369;60.07998556;97.85309514;48.73712898;99.26805633;48.39409307;78.22714582;19.0057458;59.63018522;46.10396655;59.35678279;67.09608439;82.20060978;0;69.84413738;23.29601679;0;11.42073792;23.97330992;55.44245959;31.84574323;72.91054572;59.48523929;30.04453617;48.78582305;14.26488129;97.30014263;63.45094732;99.13451384;10.08638939;83.37360426;95.14441254;55.64415581;24.87656784;30.67228987;27.95233496;27.06357015;50.6510918;5.289279312;3.928349956;2.60324139;10.75412015;13.68697969;8.3495671;11.66666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
