nom des bv;Guadalquivir;Guadiana;Sado;Tagus;Mondego;Douro;Lima;Minho;Lerez;Ulla;Mandeo;Landro;Masma;Eo;Navia;Esva;Nalon_Narcea;Sella;Nansa;Pas;Ason;Nervion;Deva_Cares;Oria;Urumea;Bidassoa;Nivelle;Adour;Leyre;Garonne;Seudre;Charente;Sevre_Niortaise;Lay;Auzance;Loire;Vilaine;Blavet;Scorff;Odet;Aulne;Elorn;Leguer;Leff;Trieux;Rance;Couesnon;Selune;Sienne;Douve;Vire;Orne;Dives;Touques;Seine;Bresle;Somme;Authie;Canche;Aa;Yser;Escaut;Meuse;Rhine;Ems;Weser;Elbe;Eider;Vida;Otra;Lagen;Drammens;Glomma
Final states;2;2;2;2;2;1;2;1;2;1;1;1;1;1;0;1;1;0;0;0;0;0;1;1;2;1;2;2;2;1;2;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
year of first non nul reproduction;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;4;4;0;0;0;0;0;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
year of last nul reproduction;3;3;3;3;3;3;3;3;3;3;3;3;3;3;100;3;21;100;100;100;100;100;3;3;3;3;3;3;3;3;3;3;3;3;3;3;13;82;87;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
mean last recruitment;4735773.6;4509573.9;541393.8;5529595.7;223083.8;68328.4;104103.7;3209;18359.9;63595.5;1485.6;96.4;88.3;54.3;0;24.1;28.9;0;0;0;0;0;18718.5;14245.1;4258.6;9802.6;2155.2;654438.7;96640.9;8253;8264.6;190161.8;174257.1;53305.6;12732;731.6;128.3;7.1;10.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
geo mean of last 10 years R/alpha;0.927476789;0.967108313;0.988884206;1.017668108;0.854760173;0.018046002;0.946422112;0.012865461;0.945387167;0.727954052;0.196922794;0.029481219;0.020474317;0.004479139;0;0.004686783;6.79E-04;0;0;0;0;0;0.627530709;0.652736311;0.859068286;0.761267777;0.850165407;0.808005431;0.836434955;0.001955453;0.920937137;0.261580892;0.01708244;0.634573309;0.610372633;1.98E-04;9.88E-04;0.001140914;0.010071191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mean last percentage of autochtone;95.59721598;90.35163568;62.37081307;98.10531629;49.9088357;46.45438501;78.79418178;10.75474936;61.46344571;88.32948204;41.80826092;10.74515549;8.799332338;11.8100957;0;4.298245614;6.69330757;0;0;0;0;0;68.03145025;60.16275286;27.75389795;45.47486376;16.14391993;99.6329483;88.75491035;40.98498904;47.56689767;92.78214034;79.82821319;88.09919739;70.2290218;15.7090263;4.163390989;0.748538012;1.078711986;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
