nom des bv;Guadalquivir;Guadiana;Sado;Tagus;Mondego;Douro;Lima;Minho;Lerez;Ulla;Mandeo;Landro;Masma;Eo;Navia;Esva;Nalon_Narcea;Sella;Nansa;Pas;Ason;Nervion;Deva_Cares;Oria;Urumea;Bidassoa;Nivelle;Adour;Leyre;Garonne;Seudre;Charente;Sevre_Niortaise;Lay;Auzance;Loire;Vilaine;Blavet;Scorff;Odet;Aulne;Elorn;Leguer;Leff;Trieux;Rance;Couesnon;Selune;Sienne;Douve;Vire;Orne;Dives;Touques;Seine;Bresle;Somme;Authie;Canche;Aa;Yser;Escaut;Meuse;Rhine;Ems;Weser;Elbe;Eider;Vida;Otra;Lagen;Drammens;Glomma
Final states;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
year of first non nul reproduction;4;4;4;4;4;4;4;4;4;4;4;4;4;4;101;4;4;101;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;0;0;0;0
year of last nul reproduction;3;3;3;3;3;3;3;3;3;3;3;3;3;3;186;3;3;191;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;23;23;28;32;52;37;56;107;107;93;197;193;200;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201
mean last recruitment;5032781.8;4614422.3;592992.5;6123662.3;421978.9;5584280.3;144243.8;696433.7;30361.3;149382.3;20246.8;13754.5;16184.7;42925.3;1976.7;22981.2;170186.7;3384.2;15469.9;26743.2;28069.9;86369.7;54985.6;43551.7;12872.7;36460.8;6511.2;1032079.2;163072.4;4590884.5;14853.6;578459.1;1917713.8;134260.1;31919.5;625956.4;426718.1;77194.6;14052.1;19698.5;19596.4;9759.5;9312.4;6767.4;4088.3;1178.9;249.9;241.8;242.2;6.9;9.0;4.7;2.8;1.9;1.2;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
geo mean of last 10 years R/alpha;0.9789362522931675;0.9594649773382112;0.9980821425328602;0.9743814721564473;1.0223017999096649;0.9471503355426999;0.9149672383213491;0.8727210617852474;1.0250465406589797;0.9024026516529721;0.9741861060221098;0.967795636113282;0.9739399345638988;0.9376176165114902;0.0241303866077661;0.9546365291301488;0.86462801017245;0.07979179184796892;0.9202114434109921;0.9137569508816061;1.0593517402862331;0.9143222686220607;0.8159699644333928;0.8531172137228433;0.9622853903956107;1.0441482394307882;0.9537443315653031;0.9070212568968862;0.9526828152698954;0.8522848614684546;1.0308006757753319;0.9283804803903299;0.8812289178428385;1.0002408111921393;0.8772806271893138;0.0685388909326434;0.8350008230668063;0.8143041539313272;1.025157064023663;0.7481265927673539;0.2453736332195643;0.6692195932870456;0.383154326962762;0.3335360102205192;0.1478136836256;0.013919246634996201;0.004043953777084067;0.00502761021503979;0.007039737273763708;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
mean last percentage of autochtone;89.24102940064269;81.97121942894918;40.99691324908618;94.82745729600546;32.34261514310268;96.39534449499614;25.75179811393744;63.35838461289099;10.299812066912091;37.7547406463235;27.098221682230314;36.660307208352755;47.20348141987878;73.735333303928;4.783752494857236;63.1309501065514;95.4970268717988;9.581383325998482;39.788381259703826;50.20474923046625;43.45064566670168;66.42025075386846;51.59463550498875;42.96320762395833;13.84296488850212;26.01886369179387;6.532534752159783;94.00602679344439;42.87463526506498;97.68843495757923;4.950977631515394;68.77686756664222;90.02624363141766;34.091971656621986;12.875479239227843;68.34915244336409;78.56498004279676;58.067114201679466;20.906562867460202;36.69098879335385;27.776675854793773;31.706561704305763;37.26402367842485;36.95816889436228;25.56383149165122;24.334316353728337;16.038051314556185;12.993124064550699;21.349647436392402;0.0;6.666666666666667;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
