nom des bv;Guadalquivir;Guadiana;Sado;Tagus;Mondego;Douro;Lima;Minho;Lerez;Ulla;Mandeo;Landro;Masma;Eo;Navia;Esva;Nalon_Narcea;Sella;Nansa;Pas;Ason;Nervion;Deva_Cares;Oria;Urumea;Bidassoa;Nivelle;Adour;Leyre;Garonne;Seudre;Charente;Sevre_Niortaise;Lay;Auzance;Loire;Vilaine;Blavet;Scorff;Odet;Aulne;Elorn;Leguer;Leff;Trieux;Rance;Couesnon;Selune;Sienne;Douve;Vire;Orne;Dives;Touques;Seine;Bresle;Somme;Authie;Canche;Aa;Yser;Escaut;Meuse;Rhine;Ems;Weser;Elbe;Eider;Vida;Otra;Lagen;Drammens;Glomma
Final states;2;2;2;2;2;2;2;0;2;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;2;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
year of first non nul reproduction;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;4;4;0;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;5;4;4;4;4;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;0;0;0;0
year of last nul reproduction;3;11;3;3;3;3;3;101;3;3;3;101;3;97;101;101;101;101;101;101;101;101;3;3;28;88;3;3;3;3;3;3;3;8;3;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
mean last recruitment;4711763.2;4277718.2;499733.0;5085271.9;319358.2;4432022.8;138770.4;0.0;23346.4;109257.7;13848.5;0.4;4887.6;367.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45531.8;33886.0;2789.7;4929.3;2583.7;872891.7;135788.5;4227702.7;9599.0;462362.8;1638588.4;93755.7;25464.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
geo mean of last 10 years R/alpha;0.9182684784197591;0.905295427011739;0.8841333773622944;0.8748036475912;0.8952296187123088;0.8658976878387273;0.9955048003470508;0.0;0.9154851673653052;0.8052750117623616;0.8694088205713989;0.0;0.10200558539439339;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8496645667484615;0.8356828222986128;0.040036582794064156;0.00743233944655298;0.16555448497297776;0.8598499363697367;0.9160329283166916;0.8942476362842389;0.7652184840817918;0.8677715915210032;0.8769034407755689;0.8144896218850111;0.8545770186537786;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
mean last percentage of autochtone;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;100.0;100.0;100.0;10.0;100.0;80.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
