nom des bv;Guadalquivir;Guadiana;Sado;Tagus;Mondego;Douro;Lima;Minho;Lerez;Ulla;Mandeo;Landro;Masma;Eo;Navia;Esva;Nalon_Narcea;Sella;Nansa;Pas;Ason;Nervion;Deva_Cares;Oria;Urumea;Bidassoa;Nivelle;Adour;Leyre;Garonne;Seudre;Charente;Sevre_Niortaise;Lay;Auzance;Loire;Vilaine;Blavet;Scorff;Odet;Aulne;Elorn;Leguer;Leff;Trieux;Rance;Couesnon;Selune;Sienne;Douve;Vire;Orne;Dives;Touques;Seine;Bresle;Somme;Authie;Canche;Aa;Yser;Escaut;Meuse;Rhine;Ems;Weser;Elbe;Eider;Vida;Otra;Lagen;Drammens;Glomma
Final states;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
year of first non nul reproduction;4;4;4;4;4;4;4;4;4;4;4;4;4;4;133;4;4;143;101;101;101;101;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;121;121;121;112;101;114;4;115;104;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
year of last nul reproduction;3;3;3;3;3;3;3;186;3;3;186;186;111;111;201;186;186;201;191;191;191;191;3;3;191;191;191;3;3;3;3;3;3;3;172;172;191;191;191;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201
mean last recruitment;4549638.2;4532652.2;562392.5;6014363.8;297003.8;4874076.9;127232.3;528879.2;26716.1;146983.4;15777.8;10205.3;10993.1;32563.3;13.3;13556.8;4120.4;18.4;5171.9;14266.0;15396.6;52790.1;52508.6;33142.4;7770.1;24234.0;4389.3;949573.5;138660.1;91787.3;11970.1;453622.4;130990.0;99363.4;26329.0;10277.7;3143.4;1484.3;4137.1;102.7;43.5;39.6;28.1;9.1;7.0;5.9;1.1;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
geo mean of last 10 years R/alpha;0.8826604354732138;0.923668237396911;0.9575653784413921;1.0049420659508632;0.8386309287271948;0.948622538602096;0.8940964891830886;0.891196042744216;1.0000630526021699;0.9906031907134549;0.9650896300006413;0.9302666186853065;0.863919676428959;0.9117821214335442;0.0;0.7427581435885718;0.024235744383035086;0.0;0.6708600453412972;0.8396582720084711;0.8690297713961236;0.8284121343285037;0.9170800734179541;0.8167105574476687;0.8740579390849817;1.0081256480588927;0.9501955016858691;0.8879086295267309;0.9120526424326453;0.016624245721345226;0.9494779222403382;0.8494525718610455;0.044953706500615864;0.8725359847634295;0.8844743657777726;0.0018886233232793437;0.008514917404881703;0.021876403357818493;0.4181333648290896;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
mean last percentage of autochtone;88.47840688979704;82.32976050021952;38.67547090488997;95.47214841525613;28.47506815859474;95.34804011659105;30.2355593442999;56.87702959060734;10.703231819667659;41.1291614854469;30.05158071795575;36.47869178808664;51.30218002553529;75.16748592086931;0.0;62.91030288605795;25.07996859004197;0.0;24.35128150259326;39.79571064690405;37.986930950576614;62.26394877920641;59.65051070451072;49.539809265904225;12.921239422885455;28.85087043719807;7.018764539826212;98.81806687379404;76.06606536513836;56.50551366457073;24.193850643909478;96.40457813601424;60.18838784076674;80.03425146108087;54.28453927556302;27.578077447213957;13.809846926998825;14.98146585331408;31.607110642795465;2.2437708600770216;5.078259934783388;2.5652988468114524;1.8181818181818183;4.734848484848485;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
