nom des bv;Guadalquivir;Guadiana;Sado;Tagus;Mondego;Douro;Lima;Minho;Lerez;Ulla;Mandeo;Landro;Masma;Eo;Navia;Esva;Nalon_Narcea;Sella;Nansa;Pas;Ason;Nervion;Deva_Cares;Oria;Urumea;Bidassoa;Nivelle;Adour;Leyre;Garonne;Seudre;Charente;Sevre_Niortaise;Lay;Auzance;Loire;Vilaine;Blavet;Scorff;Odet;Aulne;Elorn;Leguer;Leff;Trieux;Rance;Couesnon;Selune;Sienne;Douve;Vire;Orne;Dives;Touques;Seine;Bresle;Somme;Authie;Canche;Aa;Yser;Escaut;Meuse;Rhine;Ems;Weser;Elbe;Eider;Vida;Otra;Lagen;Drammens;Glomma
Final states;2;2;2;2;2;2;2;2;2;2;2;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;2;2;2;2;2;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0
year of first non nul reproduction;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;5;4;4;4;4;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;6;5;6;6
year of last nul reproduction;3;11;3;3;3;3;3;3;3;3;3;3;3;3;101;3;3;101;99;99;3;23;3;3;3;3;3;3;3;3;3;3;3;3;8;98;3;3;8;100;101;101;8;93;98;3;79;79;3;94;64;3;49;19;101;24;101;101;65;101;9;3;101;101;101;101;101;101;101;101;101;101;101
mean last recruitment;4803798.0;4421746.4;541562.5;5472586.4;374355.0;5330785.9;149001.9;709489.8;23044.1;144260.1;19331.9;12805.6;11511.0;36822.6;0.0;20432.5;171911.8;0.0;279.9;8625.9;13651.1;29502.6;66472.5;45312.8;11976.7;32977.8;5973.9;947236.8;167917.5;5185565.0;12479.1;522109.6;1748369.7;125300.8;33365.2;117.0;256232.9;58357.6;6823.7;939.4;0.0;0.0;9295.1;5453.9;7652.4;47622.3;21117.8;15991.3;23998.6;26539.5;14907.8;45423.4;17428.3;45584.5;0.0;27321.8;0.0;0.0;9431.6;0.0;45961.6;755728.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
geo mean of last 10 years R/alpha;0.946932882258726;0.9371961232581301;0.9331217241024089;0.9256531173935539;0.9165525568287408;0.9193430020418962;0.9621969954045101;0.9109597891163985;0.826341085163383;0.9154689124436134;0.9938623974888204;0.9601570831483213;0.769915843536881;0.8771549436198469;0.0;0.898036249268523;0.9500186302476529;0.0;0.0;0.0;0.24984794151120346;0.06551799927609335;1.0226622412996322;0.9401178545849616;0.8408976494673737;0.8772888984500321;0.8316674538693851;0.8755776868162686;0.9993796297765167;0.9867200158471535;0.8787844583548725;0.8602118492033544;0.8239818581971112;0.9781617483187005;0.9595684510808157;0.0;0.159729478891839;0.45565015468134373;0.25381774519234185;0.0;0.0;0.0;0.15227691416900485;0.0;0.0;0.8132109072705632;0.10124368390999247;0.06554214536915556;0.8566206588184622;0.0;0.04057819140078891;0.7894827321510212;0.34297680739121095;0.7275921906305899;0.0;0.768182527318529;0.0;0.0;0.010034909943474016;0.0;0.7694638008118366;0.7514644652952629;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
mean last percentage of autochtone;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;100.0;100.0;0.0;60.0;70.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;70.0;100.0;100.0;100.0;50.0;0.0;0.0;100.0;90.0;70.0;100.0;100.0;100.0;100.0;90.0;100.0;100.0;100.0;100.0;0.0;100.0;0.0;0.0;100.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
