nom des bv;Guadalquivir;Guadiana;Sado;Tagus;Mondego;Douro;Lima;Minho;Lerez;Ulla;Mandeo;Landro;Masma;Eo;Navia;Esva;Nalon_Narcea;Sella;Nansa;Pas;Ason;Nervion;Deva_Cares;Oria;Urumea;Bidassoa;Nivelle;Adour;Leyre;Garonne;Seudre;Charente;Sevre_Niortaise;Lay;Auzance;Loire;Vilaine;Blavet;Scorff;Odet;Aulne;Elorn;Leguer;Leff;Trieux;Rance;Couesnon;Selune;Sienne;Douve;Vire;Orne;Dives;Touques;Seine;Bresle;Somme;Authie;Canche;Aa;Yser;Escaut;Meuse;Rhine;Ems;Weser;Elbe;Eider;Vida;Otra;Lagen;Drammens;Glomma
Final states;2;2;2;2;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
year of first non nul reproduction;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;4;4;0;101;101;101;101;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;0;0;101;101;101;4;0;101;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
year of last nul reproduction;3;3;3;3;3;3;3;3;3;3;3;3;3;3;101;3;3;101;100;100;100;100;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;42;62;101;101;101;100;100;100;101;101;100;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
mean last recruitment;5359781.7;4553980.6;527699.7;4549051.1;238318.6;2870694.8;107849.2;126993.8;18451.9;81998.4;6377.2;2954.7;2309.2;770.2;0.0;257.2;133.3;0.0;148.0;636.0;1011.2;962.1;26250.3;21439.4;4582.9;11105.7;2397.7;787313.2;106641.6;12712.5;8675.2;136815.1;5171.8;64411.1;14688.2;982.2;192.0;25.8;23.4;0.0;0.0;0.0;0.2;0.1;0.1;0.1;0.0;0.2;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
geo mean of last 10 years R/alpha;1.0378873006176876;0.9598618378818979;0.945054106618756;0.8243023441227968;0.8832266223763379;0.74747697260765;0.9563297585014336;0.4529653303022102;0.9417544261400667;0.9034168094829209;0.833545079866845;0.7985521061483205;0.3896755857386954;0.04324960118763303;0.0;0.031989597851594935;0.0022597881700623995;0.0;0.0;0.0;0.0;0.0;0.8293162617515877;0.9191376947043248;0.8624531000298843;0.7770079953552887;0.857859002357576;0.9341768709396632;0.8959320491862968;0.003031279362753791;0.9406897822648259;0.18486657147700958;0.003508888893993212;0.7933600411065277;0.7272826453506864;3.1673149871702796E-4;0.0015174963034782752;0.002041831557775917;0.019064000123889605;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
mean last percentage of autochtone;91.0511836925686;80.0566631548263;43.259922564507285;94.67399523651223;30.504124301342767;94.51553291881406;36.07114606038229;33.02479705561949;12.799483162978333;41.615854743200494;23.215160986068973;25.549150988151887;28.29800168739981;11.894870521797738;0.0;6.5014577312843524;5.436728124990872;0.0;0.0;0.0;0.0;0.0;51.117669717679725;41.13319728806867;13.55820994080102;25.985949497556664;6.874096876549865;99.27855216868997;81.19149184420914;36.25400347737034;35.87245977363463;84.0120006304224;26.565393447944672;88.14751641628095;63.80851002453263;13.233276720599267;3.7059884642657757;0.5426055426055426;0.6154537286612758;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
