;kopt;tminRep
1;0.3869377;9.749626
2;0.4030346;9.907345
3;0.389824;9.810386
4;0.3771708;9.912795
5;0.3824257;9.834455
6;0.4036084;9.913449
7;0.3885042;9.939888
8;0.3134465;9.023897
9;0.3189449;9.195927
10;0.3849124;9.807128
