lien;site;date;saison;p;Temp;Q;DL;deltaDL;deltaT;deltaQ;Temp1;Q1;DL1;deltaDL1;deltaT1;deltaQ1;juvenileSurvival
Dordogne_2004;Dordogne;2004-01-02;2004;0.0789637824054807;0.161716171617162;0.567739833998922;0.0121052190667673;0.426470588235289;0.598039215686275;0.450090917691579;5.4;5.42053499927229;8.95027777777778;0.0136111111111106;-0.199999999999999;-0.104917939859497;3.00824367379506e-05
Dordogne_2004;Dordogne;2004-01-03;2004;0.471262346953154;0.161716171617162;0.566784540996367;0.0143670939096928;0.435661764705884;0.617647058823529;0.500859135194587;5.4;5.41610040220442;8.96527777777778;0.0150000000000006;0;-0.00443459706786609;2.72717453520201e-05
Dordogne_2004;Dordogne;2004-01-04;2004;0.0719384453259408;0.141914191419142;0.564861151262892;0.0167965150372791;0.443014705882344;0.558823529411765;0.498588569021005;4.8;5.40717177146012;8.98138888888889;0.0161111111111101;-0.600000000000001;-0.00892863074430128;3.11164525324208e-05
Dordogne_2004;Dordogne;2004-01-05;2004;0.80314253619872;0.132013201320132;0.559976175067109;0.0193934824495269;0.450367647058828;0.588235294117647;0.49164248829716;4.5;5.38449506278909;8.99861111111111;0.0172222222222231;-0.3;-0.02267670867103;2.87256969307424e-05
Dordogne_2004;Dordogne;2004-01-06;2004;0.654986639041454;0.135313531353135;0.58336335141399;0.0221579961464356;0.457720588235288;0.627450980392157;0.557951764186108;4.6;5.49306144334055;9.01694444444444;0.0183333333333326;0.0999999999999996;0.108566380551459;3.19817124707652e-05
Dordogne_2004;Dordogne;2004-01-07;2004;0.691999237053096;0.135313531353135;0.562920433460629;0.0250900561280054;0.465073529411759;0.617647058823529;0.455153018642855;4.6;5.39816270151775;9.03638888888889;0.0194444444444439;0;-0.0948987418227958;3.06768884410148e-05
Dordogne_2004;Dordogne;2004-01-08;2004;0.499013270251453;0.132013201320132;0.57706675478477;0.0282315489654018;0.474264705882355;0.607843137254902;0.536278338215871;4.5;5.46383180502561;9.05722222222222;0.0208333333333339;-0.0999999999999996;0.065669103507858;3.42652792186054e-05
Dordogne_2004;Dordogne;2004-01-09;2004;0.741433057934046;0.145214521452145;0.64732074654187;0.031498701516294;0.479779411764703;0.656862745098039;0.667872810642787;4.9;5.78996017089725;9.07888888888889;0.0216666666666665;0.4;0.326128365871643;3.24903729400817e-05
Dordogne_2004;Dordogne;2004-01-10;2004;0.813066096277907;0.194719471947195;0.765886747501775;0.0349752869230127;0.488970588235298;0.764705882352941;0.781183402828637;6.4;6.34035930372775;9.10194444444445;0.0230555555555565;1.5;0.550399132830498;3.65735026880774e-05
Dordogne_2004;Dordogne;2004-01-11;2004;0.849334528902546;0.254125412541254;0.7696528962076;0.0385775320432269;0.494485294117634;0.794117647058823;0.511932766053153;8.2;6.3578422665081;9.12583333333333;0.0238888888888873;1.8;0.0174829627803481;3.65735026880774e-05
Dordogne_2004;Dordogne;2004-01-12;2004;0.776485840324312;0.270627062706271;0.768154328640395;0.042389210019268;0.503676470588242;0.666666666666667;0.499584943463469;8.7;6.35088571671474;9.15111111111111;0.0252777777777791;0.5;-0.00695654979335991;2.33576518408341e-05
Dordogne_2004;Dordogne;2004-01-13;2004;0.677251906367019;0.280528052805281;0.877064667860002;0.0463265477088046;0.509191176470578;0.647058823529412;0.758537092567628;9;6.85646198459459;9.17722222222222;0.0261111111111099;0.300000000000001;0.505576267879847;NA
Dordogne_2004;Dordogne;2004-01-14;2004;0.313047791831195;0.283828382838284;0.985421249942732;0.0503895451118374;0.514705882352949;0.627450980392157;0.757238315097141;9.1;7.35946763825562;9.20416666666667;0.026944444444446;0.0999999999999996;0.503005653661035;NA
Dordogne_2004;Dordogne;2004-01-15;2004;0.411328929942101;0.240924092409241;1;0.0546619753706963;0.523897058823521;0.490196078431373;0.537292553038176;7.8;7.42714413340862;9.2325;0.0283333333333324;-1.3;0.0676764951529947;NA
Dordogne_2004;Dordogne;2004-01-16;2004;0.339336364762858;0.214521452145215;0.972712690026226;0.0590181787718857;0.527573529411757;0.53921568627451;0.43910023744451;7;7.3004728142678;9.26138888888889;0.0288888888888881;-0.8;-0.126671319140817;NA
Dordogne_2004;Dordogne;2004-01-17;2004;0.209294349653646;0.214521452145215;0.959207126136918;0.0635419284577366;0.534926470588241;0.617647058823529;0.471423832259841;7;7.23777819192344;9.29138888888889;0.0300000000000011;0;-0.0626946223443561;NA
Dordogne_2004;Dordogne;2004-01-18;2004;0.347381238127127;0.221122112211221;0.984045649999797;0.0681913378570832;0.540441176470589;0.637254901960784;0.561355742807961;7.2;7.35308192051543;9.32222222222222;0.0308333333333337;0.2;0.115303728591989;NA
Dordogne_2004;Dordogne;2004-01-19;2004;0.174007056979463;0.201320132013201;0.988146374444495;0.0730082935410907;0.547794117647048;0.558823529411765;0.512717477261157;6.6;7.37211802833779;9.35416666666667;0.0319444444444432;-0.600000000000001;0.0190361078223544;NA
Dordogne_2004;Dordogne;2004-01-20;2004;0.129272216465324;0.188118811881188;0.952921684800514;0.0779090223674291;0.551470588235296;0.57843137254902;0.420483971930493;6.2;7.2086003379602;9.38666666666667;0.0325000000000006;-0.399999999999999;-0.163517690377588;NA
Dordogne_2004;Dordogne;2004-01-21;2004;0.211536707356572;0.204620462046205;0.943135677338305;0.0829772974784286;0.558823529411768;0.666666666666667;0.480147649554502;6.7;7.16317239084664;9.42027777777778;0.0336111111111119;0.5;-0.0454279471135566;NA
Dordogne_2004;Dordogne;2004-01-22;2004;0.327295582043007;0.211221122112211;0.922119685436287;0.0881293457317585;0.562499999999992;0.637254901960784;0.453808935679634;6.9;7.06561336359772;9.45444444444444;0.0341666666666658;0.2;-0.0975590272489253;NA
Dordogne_2004;Dordogne;2004-01-23;2004;0.0166165856644511;0.217821782178218;0.902890314963124;0.0934070536985844;0.568014705882352;0.637254901960784;0.457999263001059;7.1;6.97634807044775;9.48944444444444;0.0350000000000001;0.199999999999999;-0.0892652931499684;NA
Dordogne_2004;Dordogne;2004-01-24;2004;0.933968301629648;0.231023102310231;0.902890314963124;0.0988523079500714;0.575367647058823;0.656862745098039;0.503099671608134;7.5;6.97634807044775;9.52555555555556;0.0361111111111114;0.4;0;NA
Dordogne_2004;Dordogne;2004-01-25;2004;0.412888417486101;0.234323432343234;0.885513524037274;0.104381335343889;0.579044117647059;0.627450980392157;0.462344287955334;7.6;6.89568269774787;9.56222222222222;0.0366666666666671;0.0999999999999996;-0.0806653726998805;NA
Dordogne_2004;Dordogne;2004-01-26;2004;0.601737319258973;0.224422442244224;0.874555798411547;0.109952249308872;0.580882352941171;0.588235294117647;0.477399511334338;7.3;6.84481547920826;9.59916666666667;0.036944444444444;-0.3;-0.0508672185396053;NA
Dordogne_2004;Dordogne;2004-01-27;2004;0.174359005643055;0.214521452145215;0.870152260287066;0.115690709558516;0.588235294117643;0.588235294117647;0.492771649221332;7;6.82437367004309;9.63722222222222;0.0380555555555553;-0.3;-0.0204418091651766;NA
Dordogne_2004;Dordogne;2004-01-28;2004;0.198924902360886;0.198019801980198;0.849011058605612;0.121554829521656;0.593750000000003;0.568627450980392;0.453515269684586;6.5;6.72623340235875;9.67611111111111;0.0388888888888896;-0.5;-0.0981402676843395;NA
Dordogne_2004;Dordogne;2004-01-29;2004;0.882684076670557;0.188118811881188;0.835142721933069;0.127502722627126;0.597426470588227;0.588235294117647;0.470572987934059;6.2;6.66185474054531;9.71555555555556;0.0394444444444435;-0.3;-0.0643786618134357;NA
Dordogne_2004;Dordogne;2004-01-30;2004;0.785382721805945;0.165016501650165;0.824411942164362;0.133492502303762;0.59926470588235;0.549019607843137;0.477931788295643;5.5;6.61204103483309;9.75527777777778;0.0397222222222222;-0.7;-0.0498137057122197;NA
